title,doi,status,reason
Automatically Benchmarking LLM Code Agents through Agent-driven Annotation and Evaluation,10.65109/hjfb4234,dup_openalex,already in OpenAlex 648
Session Summary Podcast: Session 3: Agentic System Evaluation,10.5555/3786167.3818234,exclude_fair-division,fair-division/econ-theory
"SBOMs into Agentic AIBOMs: Schema Extensions, Agentic Orchestration and Reproducibility Evaluation",10.1145/3798285,exclude_fair-division,fair-division/econ-theory
"What Is Your AI Agent Buying? Evaluation, Biases, Model Dependence, & Emerging Implications of Agentic E-Commerce",10.1145/3774904.3792943,exclude_fair-division,fair-division/econ-theory
"REALM-Bench: A Benchmark for Evaluating Multi-Agent Systems on Real-world, Dynamic Planning and Scheduling Tasks",10.1145/3770854.3785692,candidate_agentic,LLM/agentic benchmark or eval
FinAgentBench: A Benchmark Dataset for Agentic Retrieval in Financial Question Answering,10.1145/3768292.3770362,dup_openalex,already in OpenAlex 648
CPEMH: An Agentic Framework for Prompt-Driven Behavior Evaluation and Assurance in Foundation-Model Systems for Mental Health Screening,10.1145/3786167.3788419,exclude_fair-division,fair-division/econ-theory
MoralityGym: A Benchmark for Evaluating Hierarchical Moral Alignment in Sequential Decision-Making Agents,10.65109/sakl6648,dup_openalex,already in OpenAlex 648
BusEnv: A Multi-agent Reinforcement Learning Environment and Benchmark for Urban Public Transportation,10.65109/cyha2042,exclude_MARL,MARL/RL-theory/control
Security Analysis of Agentic AI Communication Protocols: A Comparative Evaluation,10.1145/3803431,exclude_fair-division,fair-division/econ-theory
A Catalogue of Evaluation Metrics for LLM-Based Multi-Agent Frameworks in Software Engineering,10.1145/3786167.3788430,exclude_fair-division,fair-division/econ-theory
Towards a framework for Bias Evaluation of AI Agents in Agentic Workflows,10.1145/3777490.3777504,exclude_fair-division,fair-division/econ-theory
Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems,10.1145/3786167.3788414,candidate_agentic,LLM/agentic benchmark or eval
Agentic Performance at the Edge: Insights from Benchmarking,10.1145/3812836.3814741,candidate_agentic,LLM/agentic benchmark or eval
SusBench: An Online Benchmark for Evaluating Dark Pattern Susceptibility of Computer-Use Agents,10.1145/3742413.3789111,dup_openalex,already in OpenAlex 648
DraftNEPABench: A Benchmark for Drafting NEPA Document Sections with Coding Agents,10.1145/3786335.3813132,candidate_agentic,LLM/agentic benchmark or eval
FinReflectKG: Agentic Construction and Evaluation of Financial Knowledge Graphs,10.1145/3768292.3770363,exclude_fair-division,fair-division/econ-theory
TEME: A Multi-Agent Evaluation Framework for Spanish Medical Speech Recognition,10.65109/rhnt7438,exclude_fair-division,fair-division/econ-theory
AgenticShop: Benchmarking Agentic Product Curation for Personalized Web Shopping,10.1145/3774904.3792724,candidate_agentic,LLM/agentic benchmark or eval
From Model Diagram to Code: A Benchmark Dataset and Multi-Agent Framework,10.1145/3746027.3755425,candidate_agentic,LLM/agentic benchmark or eval
"AI Ethics & Policy Column: Challenges Presented by Agentic AI - We Need Appropriate Evaluation, Literacy, and Governance",10.1145/3811926.3811932,exclude_fair-division,fair-division/econ-theory
MOSMAC: A Multi-agent Reinforcement Learning Benchmark on Sequential Multi-Objective Tasks,10.5555/3709347.3743605,exclude_MARL,MARL/RL-theory/control
Arena: Benchmarking AI Agent Frameworks Under Fixed-Model Conditions,10.1145/3786335.3813233,candidate_agentic,LLM/agentic benchmark or eval
Towards Generalizable Motion Evaluation in Digital Arts Education: A Zero-Shot Agentic Framework,10.1145/3799457.3799648,exclude_fair-division,fair-division/econ-theory
ELT-Bench: An End-to-End Benchmark for Evaluating AI Agents on ELT Pipelines,10.14778/3773749.3773750,dup_openalex,already in OpenAlex 648
KDD Workshop on Evaluation and Trustworthiness of Agentic and Generative AI,10.1145/3711896.3737854,exclude_fair-division,fair-division/econ-theory
LLMEvalRec: An Agentic Framework for Simulating Users to Evaluate News Recommendation Systems,10.65109/efzy6916,candidate_agentic,LLM/agentic benchmark or eval
DocETL: Agentic Query Rewriting and Evaluation for Complex Document Processing,10.14778/3746405.3746426,exclude_fair-division,fair-division/econ-theory
Evaluation and Benchmarking of LLM Agents: A Survey,10.1145/3711896.3736570,dup_openalex,already in OpenAlex 648
Heuristics Based User Experience Evaluation for Identifying Challenges in IoT Enabled Conversational Agent Design,10.1145/3765766.3765824,exclude_fair-division,fair-division/econ-theory
Exploring Recommender System Evaluation: A Multi-Modal LLM Agent Framework for A/B Testing,10.1145/3770854.3785688,exclude_fair-division,fair-division/econ-theory
GCMRBench: Goal-Conditioned Multi-Robot Environments and Benchmarks for Advancing Offline Multi-Agent Reinforcement Learning,10.65109/hrlq1652,exclude_MARL,MARL/RL-theory/control
GeoBenchX: Benchmarking LLMs in Agent Solving Multistep Geospatial Tasks,10.1145/3764915.3770721,dup_openalex,already in OpenAlex 648
Empirical Evaluation of Driving Behavior Improvements through Continuous Use of a Driver Agent,10.1145/3776734.3794370,exclude_fair-division,fair-division/econ-theory
FinResearchBench: A Logic Tree based Agent-as-a-Judge Evaluation Framework for Financial Research Agents,10.1145/3768292.3770364,exclude_fair-division,fair-division/econ-theory
Towards the Embodied Conversational Interview Agentic Service ELIAS: Development and Evaluation of a First Prototype,10.1145/3708319.3733810,exclude_fair-division,fair-division/econ-theory
Valkyrie: A Microservice-Based Framework for Scalable Evaluation of AI Agents,10.1145/3786335.3813231,exclude_fair-division,fair-division/econ-theory
AGENT-CQ: Automatic Generation and Evaluation of Clarifying Questions for Conversational Search with Large Language Models,10.1145/3809182,exclude_fair-division,fair-division/econ-theory
Does Safety Molt? Evaluating LLM Safety in Multi-Agent Social Environments,10.1145/3786335.3813173,candidate_agentic,LLM/agentic benchmark or eval
Enhancing Medical AI Safety Through Multi-Agent Evaluation and Iterative Refinement,10.1145/3765612.3768142,exclude_fair-division,fair-division/econ-theory
TaxAI: A Dynamic Economic Simulator and Benchmark for Multi-agent Reinforcement Learning,10.5555/3635637.3662998,dup_openalex,already in OpenAlex 648
Beyond Static Evaluation: Rethinking the Assessment of Personalized Agent Adaptability in Information Retrieval,10.1145/3767695.3769484,exclude_fair-division,fair-division/econ-theory
Research on Modeling Simulation and Performance Evaluation of Multi-Agent Cooperative Tasks,10.1145/3797161.3797164,exclude_fair-division,fair-division/econ-theory
A Sim-to-Real Benchmark and Analysis of Open-Source Vision and Language Agents for PTZ Camera Tasks,10.1145/3757279.3785641,candidate_agentic,LLM/agentic benchmark or eval
"Guiding, Not Railroading: Design and Evaluation of a Multi-Agent System for Narrative Redirection in Role-playing Games",10.1145/3742413.3789218,exclude_fair-division,fair-division/econ-theory
DCA-Bench: A Benchmark for Dataset Curation Agents,10.1145/3711896.3737422,dup_openalex,already in OpenAlex 648
Benchmarking the DeepResearch Agent in the Game Domain,10.1145/3807246.3807324,candidate_agentic,LLM/agentic benchmark or eval
UAV-ON: A Benchmark for Open-World Object Goal Navigation with Aerial Agents,10.1145/3746027.3758251,dup_openalex,already in OpenAlex 648
Comparative Evaluation of Local vs. Cloud LLMs and a Multi-Agent System for Sentiment Feature Extraction,10.1145/3789982.3790000,exclude_fair-division,fair-division/econ-theory
"Autonomous Research Loops: An LLM-Agent Framework for End-to-End ML Experimentation, Manuscripting, and Self-Evaluation",10.1145/3802133.3802134,exclude_fair-division,fair-division/econ-theory
An Intelligent Multi-Agent Framework for Automated Drafting and Compliance Optimization of Cadre Evaluation Materials,10.1145/3788910.3788939,exclude_fair-division,fair-division/econ-theory
Interdisciplinary Knowledge Graph-Driven STEM Teacher Assistant Agent: Model Construction and Evaluation,10.1145/3768421.3768501,exclude_fair-division,fair-division/econ-theory
"Precision Transformation of Academic Guidance for College Students with AI Agent Assistance: Needs Analysis, Model Construction, and Effectiveness Evaluation",10.1145/3802607.3802619,exclude_fair-division,fair-division/econ-theory
"Collaborate, Deliberate, Evaluate: How LLM Alignment Affects Coordinated Multi-Agent Outcomes",10.65109/uqpo8536,dup_openalex,already in OpenAlex 648
Active Evaluation of General Agents: Problem Definition and Comparison of Baseline Algorithms,10.65109/pubn4692,exclude_fair-division,fair-division/econ-theory
Survey of Emerging Trends in LLM Agent Benchmarking,10.1145/3784013.3784018,dup_openalex,already in OpenAlex 648
Evaluating XAI Support From A Hierarchical Reinforcement Learning Policy in Human-Agent Collaboration,10.65109/hdmg2174,exclude_MARL,MARL/RL-theory/control
LLM-Driven Agent-Based Evaluation Framework for Occupant-Centric HVAC Control Considering Individual Differences and Movement Behavior,10.1145/3736425.3772325,dup_openalex,already in OpenAlex 648
Design and Evaluation of Generative Agent-based Platform for Human-Assistant Interaction Research: A Tale of 10 User Studies,10.1145/3770661,exclude_fair-division,fair-division/econ-theory
Benchmarking Agents in Insurance Underwriting Environments,10.1145/3786335.3813156,candidate_agentic,LLM/agentic benchmark or eval
A Comprehensive Evaluation Framework for Multi-Agent Reinforcement Learning,10.1145/3719545.3759089,exclude_fair-division,fair-division/econ-theory
Construction of a Retrieval-Augmented LLM Agent for Health Education and a Multi-dimensional Evaluation Framework: A Comparative Study of Chinese Large Language Models,10.1145/3806980.3806990,exclude_fair-division,fair-division/econ-theory
QD-MAPPER: A Quality Diversity Framework to Automatically Evaluate Multi-Agent Path Finding Algorithms in Diverse Maps,10.65109/uzvn6052,candidate_review,manual review
EnEnv 1.0: Energy Grid Environment for Multi-Agent Reinforcement Learning Benchmarking,10.5555/3709347.3743550,dup_openalex,already in OpenAlex 648
Session Summary Podcast: Session 2: Papers: Evaluation & Benchmarking,10.5555/3786335.3818212,exclude_fair-division,fair-division/econ-theory
Simurgh: Multi-Agent Adversarial Benchmarking for Proactive Microservice Observability,10.1145/3748496.3748991,dup_openalex,already in OpenAlex 648
An LLM-based Agentic Framework for Accessible NetworkControl,10.1145/3764944.3764949,candidate_agentic,LLM/agentic benchmark or eval
Bons-AI: An Agent-Based Model to Evaluate the Behavior of Bonsai Grower According to Different Levels of Communication and Experience,10.65109/uhqu6299,exclude_agent-based modeling,agent-based modeling/sim
TRACE: Trajectory-Aware Comprehensive Evaluation for Deep Research Agents,10.1145/3774904.3792738,exclude_fair-division,fair-division/econ-theory
An Extended Benchmarking of Multi-Agent Reinforcement Learning Algorithms in Complex Fully Cooperative Tasks,10.5555/3709347.3743796,dup_openalex,already in OpenAlex 648
Demo Abstract: GIDEA: Generative AI-Powered Interactive Design and Evaluation Platform for Assistant Agent Research,10.1145/3715014.3724368,exclude_fair-division,fair-division/econ-theory
GrowthHacker: Automated Off-Policy Evaluation Optimization Using Code-Modifying LLM Agents,10.1145/3815588,exclude_fair-division,fair-division/econ-theory
On the Limits for Web Accessibility Evaluation Using AI Agents,10.1145/3800424.3800445,exclude_fair-division,fair-division/econ-theory
