benchmark,matched_oa_id,openalex,crossref,ieee,acm,matched_doi_crossref,query_url_crossref,sciencedirect,query_url_sciencedirect,scopus,via_query_stream,via_seed_only,query_streams
AgentBench,W4385682136,1,0,0,0,,https://api.crossref.org/works?query.bibliographic=AgentBench+Evaluating+LLMs+as+Agents&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22AgentBench%22,1,1,0,LLM agents evaluation
SWE-bench,W4387561453,1,0,0,0,,https://api.crossref.org/works?query.bibliographic=SWE-bench+Can+Language+Models+Resolve+Real-World+GitHub+Issues&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22SWE-bench%22,1,0,1,
GAIA,W4388964563,1,0,0,0,,https://api.crossref.org/works?query.bibliographic=GAIA+a+benchmark+for+General+AI+Assistants&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22GAIA%22%20%22General%20AI%20Assistants%22,1,0,1,
AppWorld,W4402671485,1,1,0,0,10.18653/v1/2024.acl-long.850,https://api.crossref.org/works?query.bibliographic=AppWorld+A+Controllable+World+of+Apps+and+People&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22AppWorld%22,1,1,0,agent benchmark;agentic benchmark
OSWorld,W4415797693,1,1,0,0,10.52202/079017-1650,https://api.crossref.org/works?query.bibliographic=OSWorld+Benchmarking+Multimodal+Agents+for+Open-Ended+Tasks+in+Real+Computer+Environments&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22OSWorld%22,1,1,0,agent benchmark;agentic benchmark
MLE-bench,W4403345800,1,0,0,0,,https://api.crossref.org/works?query.bibliographic=MLE-bench+Evaluating+Machine+Learning+Agents+on+Machine+Learning+Engineering&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22MLE-bench%22,1,0,1,
DataSciBench,W4407780297,1,0,0,0,,https://api.crossref.org/works?query.bibliographic=DataSciBench+An+LLM+Agent+Benchmark+for+Data+Science&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22DataSciBench%22,0,1,0,agent benchmark;agentic benchmark
AgentBoard,W4391244521,1,1,0,0,10.52202/079017-2365,https://api.crossref.org/works?query.bibliographic=AgentBoard+An+Analytical+Evaluation+Board+of+Multi-turn+LLM+Agents&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22AgentBoard%22,1,1,0,LLM agents evaluation
VisualWebArena,W4402667024,1,1,0,0,10.18653/v1/2024.acl-long.50,https://api.crossref.org/works?query.bibliographic=VisualWebArena+Evaluating+Multimodal+Agents+on+Realistic+Visual+Web+Tasks&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22VisualWebArena%22,1,0,1,
ToolEmu,W4387164935,1,0,0,0,,https://api.crossref.org/works?query.bibliographic=Identifying+the+Risks+of+LM+Agents+with+an+LM-Emulated+Sandbox&rows=5&mailto=vnageshwaran%40gmail.com,0,https://www.sciencedirect.com/search?qs=%22ToolEmu%22,1,0,1,
