Tier,Source,Candidate title,Link,YOUR decision,Your notes
1,ACM,A Sim-to-Real Benchmark and Analysis of Open-Source Vision and Language Agents for PTZ Camera Tasks,https://doi.org/10.1145/3757279.3785641,Include,"IC1-3 ok: named PTZ benchmark (SCOPE); VLM/LLM agent does multi-step camera control (external effector), LM-as-judge on traces."
1,ACM,Agentic Performance at the Edge: Insights from Benchmarking,https://doi.org/10.1145/3812836.3814741,Exclude,"Exclude - MobiSys-workshop empirical study of edge-deployed agents; measures how model-size/latency constraints affect agentic-task quality (accuracy-latency Pareto, failure modes); a deployment/efficiency analysis, not a sequential-action task suite (EC4)."
1,ACM,Arena: Benchmarking AI Agent Frameworks Under Fixed-Model Conditions,https://doi.org/10.1145/3786335.3813233,Include,"Evaluation methodology for LLM-agent frameworks; fixed-model, MCP tools, multi-step scenarios, deterministic correctness scoring (IC1-3). Borderline framework-vs-agent."
1,ACM,Benchmarking Memory Architectures for Mobile Agents in Short-Term and Long-Term Applications,https://doi.org/10.1145/3812836.3814752,Include,"Include - mobile GUI-agent memory benchmark (MemGUI-Bench-class); 128 tasks across 26 apps; agents execute multi-step GUI actions (external effector) scored by pass@k + staged LLM-judge (IC1-3)."
1,ACM,Benchmarking the DeepResearch Agent in the Game Domain,https://doi.org/10.1145/3807246.3807324,Include,"Include - deep-research agent benchmark; multi-step web browsing/retrieval over dependent steps in a game-knowledge domain, outcome-scored (IC1-3). Low-confidence: full text not retrievable, decided on title + deep-research-agent paradigm."
1,ACM,Benchmarking the Overhead of Distributed Tracing Agents,https://doi.org/10.1145/3777884.3797004,Exclude,"EC6 — ""agent"" = software distributed-tracing agent, not an LLM; paper measures performance overhead, no LLM-agent eval."
1,ACM,ColorBench: Benchmarking Mobile Agents with Graph-Structured Framework for Complex Long-Horizon Tasks,https://doi.org/10.1145/3774904.3792215,Include,"Named benchmark; mobile GUI agent, complex long-horizon multi-step tasks, graph-structured outcome scoring (IC1-3)."
1,ACM,DraftNEPABench: A Benchmark for Drafting NEPA Document Sections with Coding Agents,https://doi.org/10.1145/3786335.3813132,Include,"Named benchmark; coding agent acts over filesystem (Codex CLI), multi-step, 102 tasks w/ quantitative rubric scoring (IC1-3). Scoring is draft-quality rubric — borderline but agent task suite."
1,ACM,FormFactory: An Interactive Benchmarking Suite for Multimodal Form-Filling Agents,https://doi.org/10.1145/3746027.3758285,Include,"Named interactive benchmark; multimodal form-filling GUI agent, multi-step web-form interactions (external effector), accuracy scoring (IC1-3)."
1,ACM,From Model Diagram to Code: A Benchmark Dataset and Multi-Agent Framework,https://doi.org/10.1145/3746027.3755425,Exclude,"EC4 — primary contribution is a proposed multi-agent system (MDCAgent) + diagram-to-code dataset; eval is code generation vs ground-truth code (text/state-match, no external dependent actions)."
1,ACM,Hijacking JARVIS: Benchmarking Mobile GUI Agents against Unprivileged Third Parties,https://doi.org/10.1145/3737902.3768354,Include,"Named benchmark; mobile GUI agent in dynamic multi-step task env (external effector), robustness/misleading-rate scoring over 3000+ scenarios (IC1-3)."
1,ACM,"MVISU-Bench: Benchmarking Mobile Agents for Real-World Tasks by Multi-App, Vague, Interactive, Single-App and Unethical Instructions",https://doi.org/10.1145/3746027.3755695,Include,"Named benchmark; mobile agent across 137 apps, multi-step real-world tasks, success-rate scoring (IC1-3). Aider module secondary."
1,ACM,OpenMCP: an open-source self-hosted benchmarking harness for MCP-enabled computer use agents,https://doi.org/10.1145/3805621.3807649,Exclude,"Infrastructure — self-hosted benchmarking harness for MCP computer-use agents (serving/repro control), not itself a task suite agents are ranked on (brief harness rule). Borderline."
1,ACM,OWLViz: An Open-World Benchmark for Visual Question Answering,https://doi.org/10.65109/epvo9609,Include,"Agentic benchmark; tasks require multi-step web exploration + specialized tool use (GAIA-style dependent steps), accuracy scoring (IC1-3). Borderline answer-accuracy."
1,ACM,Towards a Playground to Democratize Experimentation and Benchmarking of AI Agents for Network Troubleshooting,https://doi.org/10.1145/3748496.3748990,Include,"Benchmark platform; LLM agent troubleshoots network issues in emulator (external effector), multi-step diagnosis, outcome scoring (IC1-3). Workshop lightning paper."
1,ACM,Vibe Code Bench: Evaluating AI Models on End-to-End Web Application Development,https://doi.org/10.1145/3786335.3813180,Include,"Named benchmark; coding agent builds web apps end-to-end (filesystem+browser, up to 1000 turns), outcome-grounded browser-workflow scoring (IC1-3)."
1,ACM,ViBench: A Benchmark on Vibe Coding,https://doi.org/10.1145/3786335.3813162,Include,"Named benchmark; agent builds web apps from NL, adaptive evaluator drives app via REPL browser automation, outcome-grounded Pass@1 (IC1-3)."
1,IEEE,"AgentQE-Bench: A Reproducible Evaluation Framework for Agentic AI Reliability, Safety, and ROI in CI/CD Pipelines",,Include,"Include - AgentQE-Bench: open-source framework with a deterministic CI/CD pipeline simulator + 20 agent episodes; agent diagnoses failures and recommends remediations over the pipeline (external effector), composite reliability/safety/ROI scoring (IC1-3)."
1,IEEE,An Agentic Approach to Synthetic Data Generation: Building and Benchmarking a COPA Dataset for Indonesian Language and Dialects,,Exclude,"EC1/EC4 — agentic method only generates a static COPA causal-reasoning dataset (Indonesian); evaluated object is NLP reasoning, not an LLM-agent sequential task suite."
1,IEEE,Benchmarking AI Agents for IT Automation Tasks with ITBench,,Include,"Named benchmark; LLM agents automate real-world IT tasks (SRE/CISO/FinOps) in simulated systems (external effectors), multi-step, resolution-rate scoring (IC1-3)."
1,IEEE,Benchmarking Heuristic and Cooperative Agents in AbstractSwarm Logistics Scenarios,,Exclude,EC6 — multi-agent swarm logistics competition with Q-learning policies; not LLM-driven agents.
1,IEEE,Benchmarking Multi-Agent LLM and Single Agent LLM Efficiency for Contextual Text Generation,,Exclude,"EC1/EC4 — compares multi- vs single-agent LLM for contextual text generation; no external effectors/dependent state-changing actions, eval is generated-text quality."
1,IEEE,"Benchmarking Reference-Free LLM Agent Robustness Under Schema, Policy, and Toolset Drift",,Include,"Include - tool-using LLM-agent robustness benchmark under schema/policy/toolset drift; multi-step tool execution scored by reference-free end-state, not text-match (IC1-3)."
1,IEEE,CoSQA+: Enhancing Code Search Evaluation With a Multi-Choice Benchmark and Test-Driven Agents,,Exclude,"EC3/infrastructure — benchmark evaluates code-search (multi-choice matching); the test-driven ""agents"" are the annotation pipeline, not the evaluated LLM-agent task suite; task is single-hop."
1,IEEE,DSGBench: A Diverse Strategic Game Benchmark for Evaluating LLM-Based Agents in Complex Decision-Making Environments,,Include,"Named benchmark (brief example); LLM agents act in multi-step strategic game envs (StarCraft II, Diplomacy, Werewolf...), fine-grained outcome/process scoring (IC1-3)."
1,IEEE,Evaluating LLM-based Role-playing Agent Authenticity via Event-driven Response Simulation: A Benchmark on Real-World Events Responses,,Exclude,"EC1 — role-play agent generates in-character text responses to events; eval is response authenticity (text similarity to real responses), no external effector / dependent state-changing actions."
1,IEEE,FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use Under the Model Context Protocol,,Include,"Named benchmark (brief example); LLM agent chains real financial MCP tool calls, single/multi-tool/multi-turn, tool-invocation + outcome scoring (IC1-3)."
1,IEEE,FOCAL: A Novel Benchmarking Technique for Multi-modal Agents,,Include,"Evaluation methodology for tool-using multimodal (voice) agents via MCP, multi-turn, error-propagation analysis + Reasoning/Semantic metrics (IC1-3). Borderline: semantic score partly text-based."
1,IEEE,From Binary to Multi-Class: Benchmarking AutoGluon Against Classical Machine Learning for Diabetes Prediction and the Rise of Agentic Clinical AI,,Exclude,"EC1 — tabular ML classification benchmark (AutoGluon vs classical ML for diabetes); ""agentic clinical AI"" only as framing/outlook, no LLM-agent evaluation."
1,IEEE,"ICLAD 2025: Agents, Benchmarks, and the Next Wave of LLM-Aided Design [IEEE News]",https://ieeexplore.ieee.org/document/11359387/,Exclude,EC5 — IEEE News conference report/summary of ICLAD 2025; not a research artifact or benchmark.
1,IEEE,Machine Learning vs. Agentic AI: Benchmarking RNA-Seq Disease Prediction with Candidate Biomarker Identification,,Exclude,"EC4/EC1 — applied comparison of ML vs agentic pipeline for RNA-Seq disease prediction; domain study, not a reusable LLM-agent task suite."
1,IEEE,MAIA: A Multidimensional Benchmark for Assessing Medical AI Agents,,Exclude,"Exclude - multidimensional medical QA benchmark (retrieval-based questions via biomedical APIs, multi-hop KG reasoning, clinical-pathway reasoning); read-only retrieval + reasoning to answer questions, no state-altering multi-step execution (EC1/EC3). Borderline."
1,IEEE,MEWA: A Benchmark For Meta-Learning in Collaborative Working Agents,,Exclude,"EC6 — meta-reinforcement-learning benchmark for human-robot collaborative agents; policies are meta-RL, not LLM-driven."
1,IEEE,OmniCharacter++: Towards Comprehensive Benchmark for Realistic Role-Playing Agents,,Exclude,"EC1 — role-playing agent benchmark; evaluates speech/text response fidelity & expressive style, no external effector / dependent state-changing actions."
1,IEEE,PillagerBench: Benchmarking LLM-Based Agents in Competitive Minecraft Team Environments,,Include,"Named benchmark; LLM agents act in real-time competitive Minecraft team env (external effector via Mineflayer), multi-step, win/outcome scoring (IC1-3). TactiCrafter system secondary."
1,IEEE,SocialNormVR: Designing Symmetrical Reality Testbeds for AI Agent Social Norm Evaluation,,Exclude,"Exclude - VR (AI-Town) testbed scoring MLLM agents on a single social-norm decision per scenario (binary compliance over 10 trials); embodied perception + one-shot decision, not >=2 dependent state-altering actions (EC4)."
1,IEEE,UINavBench: A Framework for Comprehensive Evaluation of Interactive Digital Agents,https://ieeexplore.ieee.org/document/11444249/,Include,"Named benchmark; mobile UI agent, language-conditioned multi-step task execution (external effector), planning/grounding, success-rate scoring (IC1-3)."
1,Springer,Agentic AI Capability and Security Benchmark,https://doi.org/10.1007/978-3-032-02130-4_6,Exclude,"Exclude - book-chapter guide synthesizing GAIA/Stanford-AIR + OWASP/AIVSS frameworks and advocating a process-securing strategy; secondary roundup, not a procedure measuring sequential agentic actions (EC5)."
1,Springer,SecKQL-Agent: A Real-World APT29 Events Benchmark and&#xa0;Framework for&#xa0;Reliable Text-to-KQL in&#xa0;Security Analytics,https://doi.org/10.1007/978-981-92-0378-9_17,Exclude,Low-confidence (exact abstract unconfirmed): title indicates a text-to-KQL translation benchmark/framework; NL->query is largely single-step generation (EC3/EC1). Verify if agent executes & iterates on query results over dependent steps.
2,ACM,AgenticShop: Benchmarking Agentic Product Curation for Personalized Web Shopping,https://doi.org/10.1145/3774904.3792724,Include,"Named benchmark; agentic system curates products via open-web exploratory search (external effector), multi-step, checklist/evidence-grounded scoring (IC1-3)."
2,ACM,Benchmarking Agents in Insurance Underwriting Environments,https://doi.org/10.1145/3786335.3813156,Include,"Named benchmark (UNDERWRITE); multi-turn underwriting agent w/ tool use + simulated-user info gathering (external effectors, dependent steps), pass^k/outcome scoring (IC1-3). Domain not disqualifying."
2,ACM,Benchmarking Robustness and Generalization in Multi-Agent Systems: A Case Study on Neural MMO,https://doi.org/10.5555/3545946.3598978,Exclude,"EC6 — multi-agent RL benchmark (Neural MMO); teams trained with standard RL, policies not LLM-driven."
2,ACM,Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems,https://doi.org/10.1145/3786167.3788414,Include,"Evaluation framework/methodology for agentic AI (LLM/Memory/Tools/Environment pillars; static/dynamic/judge modes), quantitative behavioral metrics (IC1/IC3). Borderline: methodology, not a fixed task suite."
2,ACM,EvalAgent: Towards Evaluating News Recommender Systems with LLM-based Agents,https://doi.org/10.1145/3746252.3761127,Exclude,"Infrastructure/EC4 — LLM agents are the evaluation instrument (simulate users) to assess news recommender systems; agents are not the evaluated object, no agent task suite."
2,ACM,Evaluating User Preferences for Gender and Embodiment Scope in Human-Agent Interaction Systems,https://doi.org/10.1145/3786995.3787057,Exclude,EC4/out-of-scope — HCI user-preference study on agent gender/embodiment; not an LLM-agent task evaluation.
