lexicon,idx,oa_id,title,abstract_first400,genuine_target,notes
DatasetReleased,1,W4416195096,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers","Recent advances in Large Language Models (LLMs) have triggered a new wave of intelligent financial agents capable of complex reasoning, tool use, and autonomous decision-making. This survey presents a comprehensive review of LLM-based agents in the context of investment and trading, focusing on applications such as portfolio optimization, risk management, information retrieval, and automated strat",0,survey; no dataset contributed
DatasetReleased,2,W7130648243,AutoONBench: a benchmark for large language model agents in autonomous optical networks,"The integration of large language models (LLMs) into autonomous optical networks (AONs) promises to revolutionize network management. However, the advancement of this field is currently hindered by the lack of a standardized evaluation framework. To bridge this gap, we introduce AutoONBench v1.0, the inaugural version of a comprehensive benchmark designed to assess LLM-based agentic systems within",1,introduces new benchmark (task data contribution)
DatasetReleased,3,W4399837154,WebCanvas: Benchmarking Web Agents in Online Environments,"For web agents to be practically useful, they must adapt to the continuously evolving web environment characterized by frequent updates to user interfaces and content. However, most existing benchmarks only capture the static aspects of the web. To bridge this gap, we introduce WebCanvas, an innovative online evaluation framework for web agents that effectively addresses the dynamic nature of web ",0,evaluation framework; dataset release not stated
DatasetReleased,4,W4405562840,SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,"With the integration of large language models (LLMs), embodied agents have strong capabilities to understand and plan complicated natural language instructions. However, a foreseeable issue is that those embodied agents can also flawlessly execute some hazardous tasks, potentially causing damages in the real world. Existing benchmarks predominantly overlook critical safety risks, focusing solely o",1,new safety benchmark introduced; task data implied
DatasetReleased,5,W4416237171,FHIR-AgentBench: Benchmarking LLM Agents for Realistic Interoperable EHR Question Answering,"The recent shift toward the Health Level Seven Fast Healthcare Interoperability Resources (HL7 FHIR) standard opens a new frontier for clinical AI, demanding LLM agents to navigate complex, resource-based data models instead of conventional structured health data. However, existing benchmarks have lagged behind this transition, lacking the realism needed to evaluate recent LLMs on interoperable cl",1,introduces EHR QA benchmark dataset
DatasetReleased,6,W4392011697,Benchmark Self-Evolving: A Multi-Agent Framework for Dynamic LLM Evaluation,"This paper presents a benchmark self-evolving framework to dynamically evaluate rapidly advancing Large Language Models (LLMs), aiming for a more accurate assessment of their capabilities and limitations. We utilize a multi-agent system to manipulate the context or question of original instances, reframing new evolving instances with high confidence that dynamically extend existing benchmarks. Tow",0,dynamic evaluation framework; no fixed dataset release stated
DatasetReleased,7,W7125598063,"An Empirical Evaluation of LLM-Based Approaches for Code Vulnerability Detection: RAG, SFT, and Dual-Agent Systems","The rapid advancement of Large Language Models (LLMs) presents new opportunities for automated software vulnerability detection, a crucial task in securing modern codebases. This paper presents a comparative study on the effectiveness of LLM-based techniques for detecting software vulnerabilities. The study evaluates three approaches, Retrieval-Augmented Generation (RAG), Supervised Fine-Tuning (S",0,comparative study; no dataset contributed
DatasetReleased,8,W4387559488,ILuvUI: Instruction-tuned LangUage-Vision modeling of UIs from Machine Conversations,,0,no abstract; dataset release unclear
DatasetReleased,9,W4412877164,Evaluation and Benchmarking of LLM Agents: A Survey,"The rise of LLM-based agents has opened new frontiers in AI applications, yet evaluating these agents remains a complex and underdeveloped area.This survey provides an in-depth overview of the emerging field of LLM agent evaluation, introducing a twodimensional taxonomy that organizes existing work along (1) evaluation objectives-what to evaluate, such as agent behavior, capabilities, reliability,",0,survey; no dataset contributed
DatasetReleased,10,W4401201041,MMAU: A Holistic Benchmark of Agent Capabilities Across Diverse Domains,"Recent advances in large language models (LLMs) have increased the demand for comprehensive benchmarks to evaluate their capabilities as human-like agents. Existing benchmarks, while useful, often focus on specific application scenarios, emphasizing task completion but failing to dissect the underlying skills that drive these outcomes. This lack of granularity makes it difficult to deeply discern ",1,new holistic benchmark (task data) introduced
DatasetReleased,11,W4417300641,MedAgentBoard: Benchmarking Multi-Agent Collaboration with Conventional Methods for Diverse Medical Tasks,"The rapid advancement of Large Language Models (LLMs) has stimulated interest in multi-agent collaboration for addressing complex medical tasks. However, the practical advantages of multi-agent collaboration approaches remain insufficiently understood. Existing evaluations often lack generalizability, failing to cover diverse tasks reflective of real-world clinical practice, and frequently omit ri",1,introduces medical multi-task benchmark suite
DatasetReleased,12,W4417134740,"MCPWorld: A Unified Benchmarking Testbed for API, GUI, and Hybrid Computer Use Agents","(M)LLM-powered computer use agents (CUA) are emerging as a transformative technique to automate human-computer interaction. However, existing CUA benchmarks predominantly target GUI agents, whose evaluation methods are susceptible to UI changes and ignore function interactions exposed by application APIs, e.g., Model Context Protocol (MCP). To this end, we propose MCPWorld, the first automatic CUA",1,new benchmarking testbed with task suite
DatasetReleased,13,W4412781285,Rubric Is All You Need: Improving LLM-Based Code Evaluation With Question-Specific Rubrics,,0,no abstract; dataset release unclear
DatasetReleased,14,W4392427906,"Imitation Learning Datasets: A Toolkit For Creating Datasets, Training Agents and Benchmarking","Imitation learning field requires expert data to train agents in a task. Most often, this learning approach suffers from the absence of available data, which results in techniques being tested on its dataset. Creating datasets is a cumbersome process requiring researchers to train expert agents from scratch, record their interactions and test each benchmark method with newly created data. Moreover",1,toolkit and datasets for training/benchmarking
DatasetReleased,15,W4389518608,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,,1,comprehensive benchmark introduced (title); data implied
DatasetReleased,16,W4403364962,Benchmarking Agentic Workflow Generation,"Large Language Models (LLMs), with their exceptional ability to handle a wide range of tasks, have driven significant advancements in tackling reasoning and planning tasks, wherein decomposing complex problems into executable workflows is a crucial step in this process. Existing workflow evaluation frameworks either focus solely on holistic performance or suffer from limitations such as restricted",1,introduces workflow-generation benchmark
DatasetReleased,17,W4389520009,CREATOR: Tool Creation for Disentangling Abstract and Concrete Reasoning of Large Language Models,,0,"no abstract; method-focused title, dataset unclear"
DatasetReleased,18,W4406841370,MedAgentBench: A Realistic Virtual EHR Environment to Benchmark Medical LLM Agents,"Recent large language models (LLMs) have demonstrated significant advancements, particularly in their ability to serve as agents thereby surpassing their traditional role as chatbots. These agents can leverage their planning and tool utilization capabilities to address tasks specified at a high level. However, a standardized dataset to benchmark the agent capabilities of LLMs in medical applicatio",1,standardized benchmark dataset for medical agents
DatasetReleased,19,W4405792484,GUI Testing Arena: A Unified Benchmark for Advancing Autonomous GUI Testing Agent,"Nowadays, research on GUI agents is a hot topic in the AI community. However, current research focuses on GUI task automation, limiting the scope of applications in various GUI scenarios. In this paper, we propose a formalized and comprehensive environment to evaluate the entire process of automated GUI Testing (GTArena), offering a fair, standardized environment for consistent operation of divers",1,unified GUI-testing benchmark environment introduced
DatasetReleased,20,W4319993397,Multi-Agent Distributed Deep Learning Algorithm to Detect Cyber-Attacks in Distance Relays,,0,"no abstract; attack-detection application, no dataset evidence"
DatasetReleased,21,W4402671956,Benchmarking Data Science Agents,"In the era of data-driven decision-making, the complexity of data analysis necessitates advanced expertise and tools of data science, presenting significant challenges even for specialists.Large Language Models (LLMs) have emerged as promising aids as data science agents, assisting humans in data analysis and processing.Yet their practical efficacy remains constrained by the varied demands of real",1,benchmark for data science agents introduced
DatasetReleased,22,W4404782102,An Evaluation Mechanism of LLM-based Agents on Manipulating APIs,"LLM-based agents can greatly extend the abilities of LLMs and thus attract sharply increased studies.An ambitious vision -serving users by manipulating massive API-based tools -has been proposed and explored.However, we find a widely accepted evaluation mechanism for generic agents is still missing.This work aims to fill this gap.We decompose tool use capability into seven aspects and form a thoro",1,introduces API-manipulation evaluation suite
DatasetReleased,23,W4323651349,"Foundation Models for Decision Making: Problems, Methods, and Opportunities",,0,no abstract; survey title
DatasetReleased,24,W4388685755,GPT-4V in Wonderland: Large Multimodal Models for Zero-Shot Smartphone GUI Navigation,,0,"no abstract; evaluation study, no dataset evidence"
DatasetReleased,25,W4413147008,Sketchtopia: A Dataset and Foundational Agents for Benchmarking Asynchronous Multimodal Communication with Iconic Feedback,"We introduce Sketchtopia, a large-scale dataset and AI framework designed to explore goal-driven, multimodal communication through asynchronous interactions in a Pictionary-inspired setup. Sketchtopia captures natural human interactions, including freehand sketches, open-ended guesses, and iconic feedback gestures, showcasing the complex dynamics of cooperative communication under constraints. It ",1,large-scale dataset introduced
DatasetReleased,26,W4416195122,FinAgentBench: A Benchmark Dataset for Agentic Retrieval in Financial Question Answering,"Accurate information retrieval (IR) is critical in the financial domain, where investors must identify relevant information from large collections of documents. Traditional IR methods—whether sparse or dense—often fall short in retrieval accuracy, as it requires not only capturing semantic similarity but also performing fine-grained reasoning over document structure and domain-specific knowledge. ",1,benchmark dataset stated in title
DatasetReleased,27,W4415427913,From Grounding to Planning: Benchmarking Bottlenecks in Web Agents,"General web-based agents are increasingly essential for interacting with complex web environments, yet their performance in real-world web applications remains poor, yielding extremely low accuracy even with state-of-the-art frontier models. We observe that these agents can be decomposed into two primary components: Planning and Grounding. Yet, most existing research treats these agents as black b",0,bottleneck analysis; dataset release not stated
DatasetReleased,28,W4412877122,DCA-Bench: A Benchmark for Dataset Curation Agents,"The quality of datasets plays an increasingly crucial role in the research and development of modern artificial intelligence (AI). Despite the proliferation of open dataset platforms nowadays, data quality issues, such as incomplete documentation, inaccurate labels, ethical concerns, and outdated information, remain common in widely used datasets. Furthermore, these issues are often subtle and dif",1,introduces DCA-Bench benchmark
DatasetReleased,29,W4404545083,OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,,1,dataset and benchmark stated in title
DatasetReleased,30,W4400267107,ShortcutsBench: A Large-Scale Real-world Benchmark for API-based Agents,"Recent advancements in integrating large language models (LLMs) with application programming interfaces (APIs) have gained significant interest in both academia and industry. Recent work demonstrates that these API-based agents exhibit relatively strong autonomy and planning capabilities. However, their ability to handle multi-dimensional difficulty levels, diverse task types, and real-world deman",1,large-scale real-world benchmark introduced
