oa_id,title,year,type,venue,cited_by_count,screen_pass,decision,exclusion_code,confidence,machine_or_human,has_agent,has_eval,introduces,rationale
W4385327683,Autonomous Tester Agent Benchmark,2023,preprint,arXiv (Cornell University),25,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4396914156,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,2024,preprint,arXiv (Cornell University),20,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4387885897,The Rational Agent Benchmark for Data Visualization,2023,article,IEEE Transactions on Visualization and Computer Graphics,8,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4410068021,Toward Sensor-In-the-Loop LLM Agent: Benchmarks and Implications,2025,article,,5,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4399991282,GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,2024,preprint,arXiv (Cornell University),4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4412887805,CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents,2025,article,,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4403707291,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,2024,preprint,arXiv (Cornell University),3,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4402705816,"AeroVerse: UAV-Agent Benchmark Suite for Simulating, Pre-training, Finetuning, and Evaluating Aerospace Embodied World Models",2024,preprint,arXiv (Cornell University),4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4412877164,Evaluation and Benchmarking of LLM Agents: A Survey,2025,article,,24,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W7119474322,Survey of Emerging Trends in LLM Agent Benchmarking,2025,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
