lexicon,idx,oa_id,title,genuine_target
collaboration,1,W7118158543,Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,0
collaboration,2,W4405562840,SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,0
collaboration,3,W4410538601,Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,0
collaboration,4,W4399991282,GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,0
collaboration,5,W4417300641,MedAgentBoard: Benchmarking Multi-Agent Collaboration with Conventional Methods for Diverse Medical Tasks,1
collaboration,6,W7150166984,From Static Scores to Cognitive Retrieval: A Comparative Evaluation of Memory Prioritization Algorithms for LLM Multi-Ag,0
collaboration,7,W4412889602,EducationQ: Evaluating LLMs’ Teaching Capabilities Through Multi-Agent Dialogue Framework,0
collaboration,8,W4417132388,"Enhancing LLM Code Generation: A Systematic Evaluation of Multi-Agent Collaboration and Runtime Debugging for Accuracy, ",1
collaboration,9,W7124289417,TaxAI: A Dynamic Economic Simulator and Benchmark for Multi-agent Reinforcement Learning,1
collaboration,10,W4410087623,Evaluating and Enhancing LLMs Agent Based on Theory of Mind in Guandan: A Multi-Player Cooperative Game Under Imperfect ,1
collaboration,11,W7128814741,AgentLeak: A Full-Stack Benchmark for Privacy Leakage in Multi-Agent LLM Systems,0
collaboration,12,W4413065709,Toward the Autonomous AI Doctor: Quantitative Benchmarking of an Autonomous Agentic AI Versus Board-Certified Clinicians,0
collaboration,13,W7138370235,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",0
collaboration,14,W7124265668,EnEnv 1.0: Energy Grid Environment for Multi-Agent Reinforcement Learning Benchmarking,1
collaboration,15,W4380714553,A Versatile Multi-Agent Reinforcement Learning Benchmark for Inventory Management,1
collaboration,16,W7125387752,Deploying and evaluating a conversational agent using LLMs for academic library reference,0
collaboration,17,W4414930036,FinGAIA: A Chinese Benchmark for AI Agents in Real-World Financial Domain,0
collaboration,18,W4417284393,Toward Reliable Annotation in Low-Resource NLP: A Mixture of Agents Framework and Multi-LLM Benchmarking,0
collaboration,19,W4413358490,Simurgh: Multi-Agent Adversarial Benchmarking for Proactive Microservice Observability,0
collaboration,20,W4409724980,Coding Agents: A Comprehensive Survey of Automated Bug Fixing Systems and Benchmarks,0
collaboration,21,W4416195096,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",0
collaboration,22,W4417161986,"Beyond Benchmarks: Dynamic, Automatic And Systematic Red-Teaming Agents For Trustworthy Medical Language Models",0
collaboration,23,W4413147008,Sketchtopia: A Dataset and Foundational Agents for Benchmarking Asynchronous Multimodal Communication with Iconic Feedba,1
collaboration,24,W4414991266,Benchmarking LLM-based agents for single-cell omics analysis,0
collaboration,25,W4392011697,Benchmark Self-Evolving: A Multi-Agent Framework for Dynamic LLM Evaluation,0
collaboration,26,W7131297773,SusBench: An Online Benchmark for Evaluating Dark Pattern Susceptibility of Computer-Use Agents,0
