benchmark_name,attribute,rater_A_code,rater_B_code
Mind2Web,W (target_capabilities),Environment perception (W4); Planning as action prediction (W1); Multi-turn reasoning (W2),"web navigation action prediction across many real sites (W4, W3 core)"
Mind2Web,H (evaluation_paradigm),"Programmatic/deterministic, offline action matching (H1)",element/action match against ground-truth steps (H1)
Mind2Web,E (environment_type),Static dataset of cached real-website snapshots (E1),static dataset of recorded web pages/traces (E1)
GAIA,W (target_capabilities),Multi-turn reasoning (W2); Tool use (W3); Web perception (W4); Multimodality,"multi-step reasoning with tool use to reach a single answer (W2, W3, W1)"
GAIA,H (evaluation_paradigm),"Programmatic/deterministic, quasi-exact match (H1)",exact-match against curated reference answers (H1)
GAIA,E (environment_type),Static question set solved via open web (E1 + E2b hybrid),"static question set, real-world resources cited (E1)"
WebShop,W (target_capabilities),Long-horizon planning (W1); Multi-turn query reformulation (W2); Web perception (W4),"goal-directed product search and purchase navigation (W4, W1)"
WebShop,H (evaluation_paradigm),"Programmatic/deterministic, reward-based (H1)",programmatic reward from matched product attributes (H1)
WebShop,E (environment_type),Simulated e-commerce web environment (E2b),simulated e-commerce web environment (E2b)
WebArena,W (target_capabilities),Web/environment perception (W4); Long-horizon planning (W1); Tool execution (W3),"long-horizon web task completion across self-hosted sites (W1, W4, W3)"
WebArena,H (evaluation_paradigm),"Programmatic/deterministic, outcome-based (H1)",programmatic functional-correctness checks on end state (H1)
WebArena,E (environment_type),Web/browser container; self-hosted functional websites (E2b),live self-hosted web/browser environment (E2b)
VisualWebArena,W (target_capabilities),"Visual/environment perception (W4, core); Long-horizon planning (W1); Multi-turn reasoning (W2); Tool execution (W3)","visually grounded web task completion (W4 core, W1, W3)"
VisualWebArena,H (evaluation_paradigm),"Programmatic/deterministic, state-based (H1) with fuzzy/LLM answer match (H2 component)",programmatic outcome and visual-state validators (H1)
VisualWebArena,E (environment_type),Multimodal web/browser containers (E2b),live self-hosted multimodal web environment (E2b)
AssistantBench,W (target_capabilities),Long-horizon planning (W1); Multi-turn reasoning (W2); Web navigation/tool execution (W3); Live-page perception (W4),"open-web information-seeking to produce answers (W1, W4, W3)"
AssistantBench,H (evaluation_paradigm),"Programmatic/deterministic, answer accuracy/precision (H1)",automated answer-accuracy scoring against references (H1)
AssistantBench,E (environment_type),"Open live web, 258 real websites (E2b)",live open web browsing (E2b)
