Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Agentic AI Capability and Security Benchmark,Securing AI Agents,,,,10.1007/978-3-032-02130-4_6,Ken HuangChris Hughes,2025,https://link.springer.com/chapter/10.1007/978-3-032-02130-4_6,Chapter
Population-dependent agent performance in non-transitive games: a multi-agent rock–paper–scissors benchmark,Scientific Reports,,,,10.1038/s41598-026-55417-9,Ou DengJianting XuShoji NishimuraAtsushi OgiharaQun Jin,2026,https://link.springer.com/article/10.1038/s41598-026-55417-9,Article
Adaptive monitoring and real-world evaluation of agentic AI systems,AI and Ethics,,,,10.1007/s43681-026-00990-y,Manish Shukla,2026,https://link.springer.com/article/10.1007/s43681-026-00990-y,Article
From benchmarks to deployment: a comprehensive review of agentic AI evaluation,Artificial Intelligence Review,,,,10.1007/s10462-026-11571-0,Tanzila KehkashanMuhammad AbdullahAhmad Sami Al-ShamaylehNikola IvkovićNor Azman IsmailSharifah Sakinah Syed AhmadAbdul RehmanAdnan Akhunzada,2026,https://link.springer.com/article/10.1007/s10462-026-11571-0,Article
Design and Evaluation of an Agentic AI Framework for Personalized Umrah Trip Planning,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-11021-z,Alaa Khamis,2026,https://link.springer.com/article/10.1007/s13369-025-11021-z,Article
The backlash effect in japan: how agency and communality influence the evaluation of agentic female leaders,Current Psychology,,,,10.1007/s12144-026-09032-6,Yuki KiyosueYasuko MorinagaKoudai Fukudome,2026,https://link.springer.com/article/10.1007/s12144-026-09032-6,Article
Benchmark for multi-agent pickup and delivery problem in a robotic mobile fulfillment system,Flexible Services and Manufacturing Journal,,,,10.1007/s10696-024-09563-9,Yangjun SunNing Zhao,2024,https://link.springer.com/article/10.1007/s10696-024-09563-9,Article
A Benchmark on&#xa0;Formation Control of&#xa0;Multi-agent Robotic System,Control Systems Benchmarks,,,,10.1007/978-3-031-76312-0_10,Francisco José Mañas-ÁlvarezMaría GuinaldoRaquel Dormido,2025,https://link.springer.com/chapter/10.1007/978-3-031-76312-0_10,Chapter
Quality Tuning and Evaluation with Agent Bricks,Databricks Data Intelligence Platform,,,,10.1007/979-8-8688-2524-8_7,Jason YipNikhil GuptaMarcin Wojtyczka,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2524-8_7,Chapter
MAP: evaluation and multi-agent enhancement of large language models for inpatient pathways,npj Health Systems,,,,10.1038/s44401-026-00085-0,Zhen ChenZhihao PengXusheng LiangCheng WangPeigan LiangLinsheng ZengMinjie JuYixuan Yuan,2026,https://www.nature.com/articles/s44401-026-00085-0,Article
Multi-agent robust policy evaluation for reinforcement learning via primal-dual online time-averaging,Science China Information Sciences,,,,10.1007/s11432-024-4578-2,Gang ChenChangli PuYaoyao ZhouXiumin LiHuimiao Chen,2025,https://link.springer.com/article/10.1007/s11432-024-4578-2,Article
"Synthesis, Characterization and Biological Evaluation of a Sulfonamide-Based Antimicrobial Agent",Chemistry Africa,,,,10.1007/s42250-025-01338-5,Aref AtefiMohaddeseh LarypoorMasoumeh TabatabaeeGolnaz Bahramali,2025,https://link.springer.com/article/10.1007/s42250-025-01338-5,Article
Preparation and Performance Evaluation of Waterborne Polyurethane Modified with Silane Coupling Agent and Castor Oil,Journal of Wuhan University of Technology-Mater. Sci. Ed.,,,,10.1007/s11595-025-3217-2,Yunxue LiuQilin SunZhaorong FanYaxin GuXiumei WangPeng Liu,2025,https://link.springer.com/article/10.1007/s11595-025-3217-2,Article
Fabrication and evaluation of hybrid foam fire-extinguishing agent reinforced with nano-zirconia sol,Journal of Sol-Gel Science and Technology,,,,10.1007/s10971-025-06886-3,Weining DuYaqiang JiangMingqiang YanJun DengZhicheng Xie,2025,https://link.springer.com/article/10.1007/s10971-025-06886-3,Article
Development and Performance Evaluation of a Salt-Tolerant Supramolecular Fracturing Fluid Thickening Agent,Chemistry and Technology of Fuels and Oils,,,,10.1007/s10553-025-01972-2,Hubiao WangHeng Zhang,2025,https://link.springer.com/article/10.1007/s10553-025-01972-2,Article
The feedback loop: a systematic review of how evaluation practices inform conversational agent design,Universal Access in the Information Society,,,,10.1007/s10209-026-01311-0,Neşe Baz AktaşAdem Akbıyık,2026,https://link.springer.com/article/10.1007/s10209-026-01311-0,Article
Identification and evaluation of bioactive compound from selected medicinal plants: potential antibacterial agent,Vegetos,,,,10.1007/s42535-025-01395-8,Rita NoverizaEfriwatiMelatiSitti Fatimah Syahid,2025,https://link.springer.com/article/10.1007/s42535-025-01395-8,Article
Modeling human adaptation to ice-jam flood risk: a calibrated agent-based policy evaluation framework,Natural Hazards,,,,10.1007/s11069-025-07922-9,Mohammad GhoreishiBrandon BellowsKarl-Erich Lindenschmidt,2026,https://link.springer.com/article/10.1007/s11069-025-07922-9,Article
Value-based large language model agent simulation for mutual evaluation of trust and interpersonal closeness,Scientific Reports,,,,10.1038/s41598-025-25531-1,Yuki SakamotoTakahisa UchidaHiroshi Ishiguro,2025,https://link.springer.com/article/10.1038/s41598-025-25531-1,Article
Embedding ethical governance in personal AI systems: design and evaluation of a user-centred oversight agent,AI and Ethics,,,,10.1007/s43681-026-01193-1,Gyula Szabó,2026,https://link.springer.com/article/10.1007/s43681-026-01193-1,Article
A multi-agent large language model framework for intelligent vendor evaluation and risk-aware procurement decisions,Scientific Reports,,,,10.1038/s41598-026-50952-x,Amey JoshiMangal SinghDeepak ParasharMahesh Singh,2026,https://link.springer.com/article/10.1038/s41598-026-50952-x,Article
Synthesis and Biological Evaluation of Coumarin Bearing Thiourea Derivative as Potential Antibacterial Agent,Russian Journal of Organic Chemistry,,,,10.1134/S1070428024130177,Alim AlsukorNurul Alam InayatsyahSharifah Aminah Syed MohamadMohamad Jemain Mohamad RidhwanNurulfazlina Edayah RasolSyahrul Imran,2024,https://link.springer.com/article/10.1134/S1070428024130177,Article
Seal-Tools: Self-instruct Tool Learning Dataset for&#xa0;Agent Tuning and&#xa0;Detailed Benchmark,Natural Language Processing and Chinese Computing,,,,10.1007/978-981-97-9434-8_29,Mengsong WuTong ZhuHan HanChuanyuan TanXiang ZhangWenliang Chen,2025,https://link.springer.com/chapter/10.1007/978-981-97-9434-8_29,Conference paper
