lexicon,idx,oa_id,title,abstract_first400,genuine_target,notes
Coding,1,W4386302825,AutoDroid: LLM-powered Task Automation in Android,,0,"no abstract; GUI task automation, not code generation"
Coding,2,W7118158543,Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,"Large Language Model (LLM)-based agents that plan, use tools and act has begun to shape healthcare and medicine. Reported studies demonstrate competence on various tasks ranging from EHR analysis and differential diagnosis to treatment planning and research workflows. Yet the literature largely consists of overviews which are either broad surveys or narrow dives into a single capability (e.g., mem",0,survey/taxonomy; coding not target
Coding,3,W4393248299,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,,1,GitHub issue resolution is a software-engineering task
Coding,4,W7124265668,EnEnv 1.0: Energy Grid Environment for Multi-Agent Reinforcement Learning Benchmarking,"Multi-agent reinforcement learning (MARL) offers prospects of efficient control in large distributed systems such as complex energy grids. The development of MARL algorithms is hampered by a scarcity of realistic benchmarks. In this paper, we introduce EnEnv 1.0 --- a simulation benchmark for MARL in modern energy grids. EnEnv 1.0 is a set of environments in which the energy grids are simulated wi",0,MARL energy-grid benchmark; no coding tasks
Coding,5,W4387561453,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,"Language models have outpaced our ability to evaluate them effectively, but for their future development it is essential to study the frontier of their capabilities. We find real-world software engineering to be a rich, sustainable, and challenging testbed for evaluating the next generation of language models. To this end, we introduce SWE-bench, an evaluation framework consisting of $2,294$ softw",1,real-world software engineering / issue resolution benchmark
Coding,6,W4401201041,MMAU: A Holistic Benchmark of Agent Capabilities Across Diverse Domains,"Recent advances in large language models (LLMs) have increased the demand for comprehensive benchmarks to evaluate their capabilities as human-like agents. Existing benchmarks, while useful, often focus on specific application scenarios, emphasizing task completion but failing to dissect the underlying skills that drive these outcomes. This lack of granularity makes it difficult to deeply discern ",0,holistic multi-domain benchmark; coding not shown central
Coding,7,W4396914156,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,"Evaluating large language models (LLM) in clinical scenarios is crucial to assessing their potential clinical utility. Existing benchmarks rely heavily on static question-answering, which does not accurately depict the complex, sequential nature of clinical decision-making. Here, we introduce AgentClinic, a multimodal agent benchmark for evaluating LLMs in simulated clinical environments that incl",0,clinical decision-making; no coding tasks
Coding,8,W4403564265,Catastrophic Cyber Capabilities Benchmark (3CB): Robustly Evaluating LLM Agent Cyber Offense Capabilities,"LLM agents have the potential to revolutionize defensive cyber operations, but their offensive capabilities are not yet fully understood. To prepare for emerging threats, model developers and governments are evaluating the cyber capabilities of foundation models. However, these assessments often lack transparency and a comprehensive focus on offensive capabilities. In response, we introduce the Ca",0,cyber-offense benchmark; coding not stated task
Coding,9,W4410553198,Beyond pip Install: Evaluating LLM Agents for the Automated Installation of Python Projects,"Many works have recently proposed the use of Large Language Model (LLM) based agents for performing ‘repository level’ tasks, loosely defined as a set of tasks whose scopes are greater than a single file. This has led to speculation that the orchestration of these repository-level tasks could lead to software engineering agents capable of performing almost independently of human intervention. Howe",1,repository-level software task (automated project installation)
Coding,10,W4417134740,"MCPWorld: A Unified Benchmarking Testbed for API, GUI, and Hybrid Computer Use Agents","(M)LLM-powered computer use agents (CUA) are emerging as a transformative technique to automate human-computer interaction. However, existing CUA benchmarks predominantly target GUI agents, whose evaluation methods are susceptible to UI changes and ignore function interactions exposed by application APIs, e.g., Model Context Protocol (MCP). To this end, we propose MCPWorld, the first automatic CUA",0,computer-use benchmark; not code generation
Coding,11,W4401017924,Proposal for a Flexible Benchmark for Agent Based Models,"As hardware capabilities and scientific understanding of social and biological systems improves, researchers are able to model complex system with increasing detail. This change increases the demand on Agent Based Modeling (ABM) software, making the performance of the software more critical. For researchers to choose the best system to implement their models, they must understand not only the capa",0,ABM software performance benchmarking; not LLM coding
Coding,12,W4389520009,CREATOR: Tool Creation for Disentangling Abstract and Concrete Reasoning of Large Language Models,,0,"no abstract; tool creation focus, coding not evidenced"
Coding,13,W4401043616,On Evaluating the Integration of Reasoning and Action in LLM Agents with Database Question Answering,,0,"no abstract; database QA, coding unclear"
Coding,14,W4400945821,Quantifying Bias in Agentic Large Language Models: A Benchmarking Approach,"The rapid adoption of large language models (LLMs) as agents raises concerns about potential biases in their decision-making processes. While previous work has explored bias mitigation in open text generation, the analysis of bias in LLM-based agents with constrained choices is under-explored. This paper introduces a new benchmark for evaluating bias in such agents, utilizing a question-answering ",0,QA-based bias benchmark; no coding
Coding,15,W4392011697,Benchmark Self-Evolving: A Multi-Agent Framework for Dynamic LLM Evaluation,"This paper presents a benchmark self-evolving framework to dynamically evaluate rapidly advancing Large Language Models (LLMs), aiming for a more accurate assessment of their capabilities and limitations. We utilize a multi-agent system to manipulate the context or question of original instances, reframing new evolving instances with high confidence that dynamically extend existing benchmarks. Tow",0,dynamic benchmark evolution framework; not coding tasks
Coding,16,W4412887745,ProjectEval: A Benchmark for Programming Agents Automated Evaluation on Project-Level Code Generation,"Recently, LLM agents have made rapid progress in improving their programming capabilities.However, existing benchmarks lack the ability to automatically evaluate from users' perspective, and also lack the explainability of the results of LLM agents' code generation capabilities.Thus, we introduce ProjectEval, a new benchmark for LLM agents project-level code generation's automated evaluation by si",1,project-level code generation benchmark
Coding,17,W4396832912,Prompt-Gaming: A Pilot Study on LLM-Evaluating Agent in a Meaningful Energy Game,"Building on previous work on incorporating large language models (LLM) in gaming, we investigate the possibility of implementing LLM as evaluating agents of open-ended challenges in serious games and its potential to facilitate a meaningful experience for the player. We contribute with a sustainability game prototype in a single natural language prompt about energy communities and we tested it wit",0,serious-game evaluation pilot; no coding tasks
Coding,18,W4413801638,MedAgentBench: A Virtual EHR Environment to Benchmark Medical LLM Agents,"BACKGROUND Recent large language models (LLMs) have demonstrated significant advancements, particularly in their ability to serve as agents, thereby surpassing their traditional role as chatbots.These agents can leverage their planning and tool utilization capabilities to address tasks specified at a high level.This suggests new potential to reduce the burden of administrative tasks and address cu",0,medical EHR agent benchmark; not coding
Coding,19,W4413145608,ComfyBench: Benchmarking LLM-based Agents in ComfyUI for Autonomously Designing Collaborative AI Systems,"Much previous AI research has focused on developing monolithic models to maximize their intelligence, with the primary goal of enhancing performance on specific tasks. In contrast, this work attempts to study using LLM-based agents to design collaborative AI systems autonomously. To explore this problem, we first introduce ComfyBench to evaluate agents’s ability to design collaborative AI systems ",0,ComfyUI workflow design; explicit coding not stated
Coding,20,W4411119815,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,"Large Language Models (LLMs) have demonstrated emergent common-sense reasoning and Theory of Mind (ToM) capabilities, making them promising candidates for developing coordination agents.This study introduces the LLM-Coordination Benchmark, a novel benchmark for analyzing LLMs in the context of Pure Coordination Settings, where agents must cooperate to maximize gains.Our benchmark evaluates LLMs th",0,coordination benchmark; no coding
Coding,21,W4386211377,A Multi-Agent System Empowered by Federated Learning and Genetic Programming,,0,no abstract; genetic programming is not code-generation evaluation
Coding,22,W4407590542,EmbodiedBench: Comprehensive Benchmarking Multi-modal Large Language Models for Vision-Driven Embodied Agents,"Leveraging Multi-modal Large Language Models (MLLMs) to create embodied agents offers a promising avenue for tackling real-world tasks. While language-centric embodied agents have garnered substantial attention, MLLM-based embodied agents remain underexplored due to the lack of comprehensive evaluation frameworks. To bridge this gap, we introduce EmbodiedBench, an extensive benchmark designed to e",0,embodied agent benchmark; no coding
