lexicon,idx,oa_id,title,abstract_first400,genuine_target,notes
WebInteraction,1,W4403564265,Catastrophic Cyber Capabilities Benchmark (3CB): Robustly Evaluating LLM Agent Cyber Offense Capabilities,"LLM agents have the potential to revolutionize defensive cyber operations, but their offensive capabilities are not yet fully understood. To prepare for emerging threats, model developers and governments are evaluating the cyber capabilities of foundation models. However, these assessments often lack transparency and a comprehensive focus on offensive capabilities. In response, we introduce the Ca",0,cyber-offense benchmark; web interaction not evidenced
WebInteraction,2,W7117833627,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents,"Web-based agents powered by large language models are increasingly used for tasks such as email management or professional networking. Their reliance on dynamic web content, however, makes them vulnerable to prompt injection attacks: adversarial instructions hidden in interface elements that persuade the agent to divert from its original task. We introduce the Task-Redirecting Agent Persuasion Ben",1,web agents on dynamic web content; interface-level attacks
WebInteraction,3,W4415539729,UAV-ON: A Benchmark for Open-World Object Goal Navigation with Aerial Agents,,0,aerial object navigation; not web
WebInteraction,4,W4402670435,You Only Look at Screens: Multimodal Chain-of-Action Agents,,0,"no abstract; screen/GUI agent, web not evidenced"
WebInteraction,5,W4405033019,Large Language Model-Brained GUI Agents: A Survey,,0,no abstract; survey title
WebInteraction,6,W4388685755,GPT-4V in Wonderland: Large Multimodal Models for Zero-Shot Smartphone GUI Navigation,,0,smartphone GUI navigation; not browser/web
WebInteraction,7,W7130481397,Benchmarking large language model-based agent systems for clinical decision tasks,"Agentic artificial intelligence (AI) systems, designed to autonomously reason, plan, and invoke tools, have shown promise in healthcare, yet systematic benchmarking of their real-world performance remains limited. In this study, we evaluate two such systems: the open-source OpenManus, built on Meta's Llama-4 and extended with medically customized agents; and Manus, a proprietary agent system emplo",0,clinical task benchmark; web action not evidenced
WebInteraction,8,W4387559488,ILuvUI: Instruction-tuned LangUage-Vision modeling of UIs from Machine Conversations,,0,"no abstract; UI modeling, not web action evaluation"
WebInteraction,9,W7138370235,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark","Recent advances in LLM agentic systems have improved the automation of offensive security tasks, particularly for Capture the Flag (CTF) challenges. We systematically investigate the key factors that drive agent success and provide a detailed recipe for building effective LLM-based offensive security agents. First, we present CTFJudge, a framework leveraging LLM as a judge to analyze agent traject",0,CTF security benchmark; web interaction not evidenced
WebInteraction,10,W4411113099,Evaluating Cultural and Social Awareness of LLM Web Agents,"As large language models (LLMs) expand into performing as agents for real-world applications beyond traditional NLP tasks, evaluating their robustness becomes increasingly important.However, existing benchmarks often overlook critical dimensions like cultural and social awareness.To address these, we introduce CASA, a benchmark designed to assess LLM agents' sensitivity to cultural and social norm",1,evaluates web agents' norm sensitivity within web tasks
