lexicon,idx,oa_id,title,abstract_first400,genuine_target,notes
LongHorizonExecution,1,W4385825419,BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,"The massive successes of large language models (LLMs) encourage the emerging exploration of LLM-augmented Autonomous Agents (LAAs). An LAA is able to generate actions with its core LLM and interact with environments, which facilitates the ability to resolve complex tasks by conditioning on past interactions such as observations and actions. Since the investigation of LAA is still very recent, limi",0,agent orchestration benchmark; horizon length not designed focus
LongHorizonExecution,2,W4387559488,ILuvUI: Instruction-tuned LangUage-Vision modeling of UIs from Machine Conversations,,0,no abstract; UI vision-language modeling
LongHorizonExecution,3,W4389523767,Theory of Mind for Multi-Agent Collaboration via Large Language Models,,0,"no abstract; ToM collaboration study, horizon not evidenced"
LongHorizonExecution,4,W4391057591,Magenta: Metrics and Evaluation Framework for Generative Agents based on LLMs,"Large Language Models (LLMs) have emerged as a driving force in the field of Natural Language Processing (NLP) with applications spanning various domains, including the development of Autonomous Generative Agents. Generative Agents are computational software programs designed to believably simulate human behavior by harnessing the capabilities of large language models. Through repetitive prompts a",0,generative-agent metrics; horizon not designed property
LongHorizonExecution,5,W4394710846,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,"The advances made by Large Language Models (LLMs) have led to the pursuit of LLM agents that can solve intricate, multi-step reasoning tasks. As with any research pursuit, benchmarking and evaluation are key corner stones to efficient and reliable progress. However, existing benchmarks are often narrow and simply compute overall task success. To face these issues, we propose AgentQuest -- a framew",0,metrics framework for multi-step tasks; horizon not designed property
LongHorizonExecution,6,W4399991282,GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,"Recent advancements in machine learning have significantly improved the identification of disease-associated genes from gene expression datasets. However, these processes often require extensive expertise and manual effort, limiting their scalability. Large Language Model (LLM)-based agents have shown promise in automating these tasks due to their increasing problem-solving abilities. To support t",0,bioinformatics analysis benchmark; horizon length not stressed
LongHorizonExecution,7,W4402670435,You Only Look at Screens: Multimodal Chain-of-Action Agents,,0,no abstract; GUI action agent
LongHorizonExecution,8,W4403345800,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,"This paper develops a theory of search stability for long-running agents operating under finite active context, delayed verification, sparse expensive feedback, path-dependent lock-in, and lossy state compression. The focus is not only on model quality, but on the mesoscopic law layer that governs how an agent should preserve, retire, substitute, compress, branch, and reset competing hypotheses or",1,long-running agent execution under sparse feedback is central subject
LongHorizonExecution,9,W4403707291,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,"AI agents have the potential to aid users on a variety of consequential tasks, including conducting scientific research. To spur the development of useful agents, we need benchmarks that are challenging, but more crucially, directly correspond to real-world tasks of interest. This paper introduces such a benchmark, designed to measure the accuracy of AI agents in tackling a crucial yet surprisingl",0,reproducibility tasks; horizon length not stated design property
LongHorizonExecution,10,W4405033019,Large Language Model-Brained GUI Agents: A Survey,,0,no abstract; survey title
LongHorizonExecution,11,W4405627213,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,"We interact with computers on an everyday basis, be it in everyday life or work, and many aspects of work can be done entirely with access to a computer and the Internet. At the same time, thanks to improvements in large language models (LLMs), there has also been a rapid development in AI agents that interact with and affect change in their surrounding environments. But how performant are AI agen",0,real-world work-task benchmark; horizon length not stated
LongHorizonExecution,12,W4414448307,MCP-Bench: Benchmarking Tool-Using LLM Agents with Complex Real-World Tasks via MCP Servers,"We introduce MCP-Bench, a benchmark for evaluating large language models (LLMs) on realistic, multi-step tasks that demand tool use, cross-tool coordination, precise parameter control, and planning/reasoning for solving tasks. Built on the Model Context Protocol (MCP), MCP-Bench connects LLMs to 28 representative live MCP servers spanning 250 tools across domains such as finance, traveling, scient",1,stresses sustained multi-step cross-tool task execution
