source,title,link,rationale
ACM,A Framework for Evaluating AI Agents in Open-Ended Conversations via Scripted Simulation,https://doi.org/10.1145/3711896.3737390,"Borderline — evaluation framework for goal-directed multi-turn conversational agents; interviewer agent questions a scripted interviewee (another agent), completeness/consistency vs hidden script facts (IC1-3). Exteriority is another LLM; conversation-quality leaning."
ACM,A Sim-to-Real Benchmark and Analysis of Open-Source Vision and Language Agents for PTZ Camera Tasks,https://doi.org/10.1145/3757279.3785641,"IC1-3 ok: named PTZ benchmark (SCOPE); VLM/LLM agent does multi-step camera control (external effector), LM-as-judge on traces."
ACM,AgenticShop: Benchmarking Agentic Product Curation for Personalized Web Shopping,https://doi.org/10.1145/3774904.3792724,"Named benchmark; agentic system curates products via open-web exploratory search (external effector), multi-step, checklist/evidence-grounded scoring (IC1-3)."
ACM,Arena: Benchmarking AI Agent Frameworks Under Fixed-Model Conditions,https://doi.org/10.1145/3786335.3813233,"Evaluation methodology for LLM-agent frameworks; fixed-model, MCP tools, multi-step scenarios, deterministic correctness scoring (IC1-3). Borderline framework-vs-agent."
ACM,Benchmarking Agents in Insurance Underwriting Environments,https://doi.org/10.1145/3786335.3813156,"Named benchmark (UNDERWRITE); multi-turn underwriting agent w/ tool use + simulated-user info gathering (external effectors, dependent steps), pass^k/outcome scoring (IC1-3). Domain not disqualifying."
ACM,Benchmarking Memory Architectures for Mobile Agents in Short-Term and Long-Term Applications,https://doi.org/10.1145/3812836.3814752,"Mobile GUI-agent memory benchmark; multi-step GUI actions (external effector), staged LLM-judge scoring (IC1-3). Exact ACM abstract unconfirmed."
ACM,Benchmarking the DeepResearch Agent in the Game Domain,https://doi.org/10.1145/3807246.3807324,"Low-confidence: deep-research agent benchmark in game domain; multi-step browsing/retrieval w/ dependent steps, outcome scoring likely (IC1-3). Exact abstract unconfirmed."
ACM,Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems,https://doi.org/10.1145/3786167.3788414,"Evaluation framework/methodology for agentic AI (LLM/Memory/Tools/Environment pillars; static/dynamic/judge modes), quantitative behavioral metrics (IC1/IC3). Borderline: methodology, not a fixed task suite."
ACM,ColorBench: Benchmarking Mobile Agents with Graph-Structured Framework for Complex Long-Horizon Tasks,https://doi.org/10.1145/3774904.3792215,"Named benchmark; mobile GUI agent, complex long-horizon multi-step tasks, graph-structured outcome scoring (IC1-3)."
ACM,Does Safety Molt? Evaluating LLM Safety in Multi-Agent Social Environments,https://doi.org/10.1145/3786335.3813173,"Borderline low-confidence — evaluation methodology for LLM-agent safety in a multi-agent social simulation (agents post/observe in a platform env over time), quantitative privacy-leakage metrics (IC1/IC3). Safety-focused, not a task-success suite."
ACM,DraftNEPABench: A Benchmark for Drafting NEPA Document Sections with Coding Agents,https://doi.org/10.1145/3786335.3813132,"Named benchmark; coding agent acts over filesystem (Codex CLI), multi-step, 102 tasks w/ quantitative rubric scoring (IC1-3). Scoring is draft-quality rubric — borderline but agent task suite."
ACM,Evaluating Large Language Models through Communication Games: An Agent-Based Framework Using Werewolf in Unity,https://doi.org/10.1145/3723498.3723702,"Agent-based evaluation framework; LLM agents play multi-step Werewolf in a game env (Unity), gather info & plan actions, performance scoring (IC1-3). Communication-game; borderline but state/outcome-grounded."
ACM,Evaluating the Robustness of Multimodal Agents Against Active Environmental Injection Attacks,https://doi.org/10.1145/3746027.3755646,"Robustness evaluation of multimodal mobile agents (AEIA) on AndroidWorld; agents take multi-step OS actions (external effector), attack-success/outcome scoring (IC1-3). Security-focused; borderline vs attack-method (EC4)."
ACM,FormFactory: An Interactive Benchmarking Suite for Multimodal Form-Filling Agents,https://doi.org/10.1145/3746027.3758285,"Named interactive benchmark; multimodal form-filling GUI agent, multi-step web-form interactions (external effector), accuracy scoring (IC1-3)."
ACM,Hijacking JARVIS: Benchmarking Mobile GUI Agents against Unprivileged Third Parties,https://doi.org/10.1145/3737902.3768354,"Named benchmark; mobile GUI agent in dynamic multi-step task env (external effector), robustness/misleading-rate scoring over 3000+ scenarios (IC1-3)."
ACM,IDAT: A Multi-Modal Dataset and Toolkit for Building and Evaluating Interactive Task-Solving Agents,https://doi.org/10.1145/3726302.3730300,"Dataset + benchmark/toolkit (IGLU) for interactive task-solving agents in a Minecraft-like grounded env; multi-turn grounded instruction execution (external effector), interactive evaluation (IC1-3). Borderline: includes toolkit/infra + HITL eval."
ACM,"MVISU-Bench: Benchmarking Mobile Agents for Real-World Tasks by Multi-App, Vague, Interactive, Single-App and Unethical Instructions",https://doi.org/10.1145/3746027.3755695,"Named benchmark; mobile agent across 137 apps, multi-step real-world tasks, success-rate scoring (IC1-3). Aider module secondary."
ACM,OWLViz: An Open-World Benchmark for Visual Question Answering,https://doi.org/10.65109/epvo9609,"Agentic benchmark; tasks require multi-step web exploration + specialized tool use (GAIA-style dependent steps), accuracy scoring (IC1-3). Borderline answer-accuracy."
ACM,"REALM-Bench: A Benchmark for Evaluating Multi-Agent Systems on Real-world, Dynamic Planning and Scheduling Tasks",https://doi.org/10.1145/3770854.3785692,"Named benchmark; LLM/agentic systems plan, coordinate & replan in real-world dynamic scheduling envs (state-changing disruptions, dependent steps), quantitative metrics (IC1-3)."
ACM,Towards a Playground to Democratize Experimentation and Benchmarking of AI Agents for Network Troubleshooting,https://doi.org/10.1145/3748496.3748990,"Benchmark platform; LLM agent troubleshoots network issues in emulator (external effector), multi-step diagnosis, outcome scoring (IC1-3). Workshop lightning paper."
ACM,Vibe Code Bench: Evaluating AI Models on End-to-End Web Application Development,https://doi.org/10.1145/3786335.3813180,"Named benchmark; coding agent builds web apps end-to-end (filesystem+browser, up to 1000 turns), outcome-grounded browser-workflow scoring (IC1-3)."
ACM,ViBench: A Benchmark on Vibe Coding,https://doi.org/10.1145/3786335.3813162,"Named benchmark; agent builds web apps from NL, adaptive evaluator drives app via REPL browser automation, outcome-grounded Pass@1 (IC1-3)."
IEEE,"AgentQE-Bench: A Reproducible Evaluation Framework for Agentic AI Reliability, Safety, and ROI in CI/CD Pipelines",,"Low-confidence (exact abstract unconfirmed): evaluation framework for agentic AI in CI/CD; agent acts over pipeline/tools (external effectors), reliability/safety metrics (IC1-3). Verify it is a reusable task suite."
IEEE,ASIC-Agent: An Autonomous Multi-Agent System for ASIC Design with Benchmark Evaluation,,"Contributes ASIC-Agent-Bench (first reusable HW-design agent benchmark); agent uses EDA tools in sandbox (external effectors), multi-step RTL->GDSII, milestone-based outcome scoring (IC1-3). System+benchmark; benchmark qualifies."
IEEE,Benchmarking AI Agents for IT Automation Tasks with ITBench,,"Named benchmark; LLM agents automate real-world IT tasks (SRE/CISO/FinOps) in simulated systems (external effectors), multi-step, resolution-rate scoring (IC1-3)."
IEEE,"Benchmarking Reference-Free LLM Agent Robustness Under Schema, Policy, and Toolset Drift",,"Agent robustness benchmark; tool-using LLM agent under schema/policy/toolset drift, reference-free end-state scoring (not text-match) — IC1-3. Exact abstract unconfirmed but clearly agent eval."
IEEE,ChemPaperBench: A Multi-Domain Benchmark for Literature-Grounded Chemical Reasoning of LLM-Based Multi-Agent Systems,,Low-confidence: named benchmark for LLM multi-agent literature-grounded chemical reasoning; likely multi-step retrieval+reasoning (IC1-3). Verify dependent external retrieval actions vs static chem-QA.
IEEE,DSGBench: A Diverse Strategic Game Benchmark for Evaluating LLM-Based Agents in Complex Decision-Making Environments,,"Named benchmark (brief example); LLM agents act in multi-step strategic game envs (StarCraft II, Diplomacy, Werewolf...), fine-grained outcome/process scoring (IC1-3)."
IEEE,Evaluation of LLM Powered Agentic AI for Solving Multi-Arm Bandit Problems,,"Evaluates LLM agents on multi-armed bandit environments; sequential arm choices with reward feedback (dependent steps, environment-grounded), regret/optimality scoring; framed as an early benchmark (IC1-3). Borderline: simple env / single action-type (EC3 risk)."
IEEE,FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use Under the Model Context Protocol,,"Named benchmark (brief example); LLM agent chains real financial MCP tool calls, single/multi-tool/multi-turn, tool-invocation + outcome scoring (IC1-3)."
IEEE,FOCAL: A Novel Benchmarking Technique for Multi-modal Agents,,"Evaluation methodology for tool-using multimodal (voice) agents via MCP, multi-turn, error-propagation analysis + Reasoning/Semantic metrics (IC1-3). Borderline: semantic score partly text-based."
IEEE,PillagerBench: Benchmarking LLM-Based Agents in Competitive Minecraft Team Environments,,"Named benchmark; LLM agents act in real-time competitive Minecraft team env (external effector via Mineflayer), multi-step, win/outcome scoring (IC1-3). TactiCrafter system secondary."
IEEE,UINavBench: A Framework for Comprehensive Evaluation of Interactive Digital Agents,https://ieeexplore.ieee.org/document/11444249/,"Named benchmark; mobile UI agent, language-conditioned multi-step task execution (external effector), planning/grounding, success-rate scoring (IC1-3)."
Springer,Adaptive monitoring and real-world evaluation of agentic AI systems,https://doi.org/10.1007/s43681-026-00990-y,Borderline IC3 — formalizes adaptive monitoring (AMDM) + systematic review with a 5-axis taxonomy of agentic-AI evaluation dimensions; materially advances eval taxonomy/critique. Runtime-monitoring leans infrastructure.
Springer,MAP: evaluation and multi-agent enhancement of large language models for inpatient pathways,https://doi.org/10.1038/s44401-026-00085-0,"Contributes IPDS benchmark (MIMIC-IV, 51k cases); multi-agent clinical pathway (triage->diagnosis->treatment) multi-step decisions w/ retrieval, accuracy/protocol scoring (IC1-3). Borderline: staged decisions vs environment-state changes. Also proposes MAP system."
