oa_id,title,authors,doi,year,date,type,venue,publisher,cited_by_count,is_oa,oa_status,repo,host_venue_type,referenced_works_n,streams,url,abstract
W4385327683,Autonomous Tester Agent Benchmark,WebArena authors,10.48550/arxiv.2307.13854,2023,2023-07-25,preprint,arXiv (Cornell University),Cornell University,25,True,green,,repository,0,agent benchmark|agentic benchmark|autonomous agents benchmark,https://doi.org/10.48550/arxiv.2307.13854,"Openstreetmap docker files required to self-host the WebArena benchmark, as described here:https://webarena.dev/https://arxiv.org/abs/2307.13854https://github.com/web-arena-x/webarena/tree/main/environment_docker Copyright to openstreetmaphttps://www.openstreetmap.org/copyright"
W4396914156,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,Samuel Schmidgall; Rojin Ziaei; Carl Harris; Eduardo Pontes Reis; Jeffrey K. Jopling; Michael Moor,10.48550/arxiv.2405.07960,2024,2024-05-13,preprint,arXiv (Cornell University),Cornell University,20,True,green,,repository,0,agent benchmark|agentic benchmark|agent evaluation benchmark,https://doi.org/10.48550/arxiv.2405.07960,"Evaluating large language models (LLM) in clinical scenarios is crucial to assessing their potential clinical utility. Existing benchmarks rely heavily on static question-answering, which does not accurately depict the complex, sequential nature of clinical decision-making. Here, we introduce AgentClinic, a multimodal agent benchmark for evaluating LLMs in simulated clinical environments that include patient interactions, multimodal data collection under incomplete information, and the usage of various tools, resulting in an in-depth evaluation across nine medical specialties and seven languages. We find that solving MedQA problems in the sequential decision-making format of AgentClinic is considerably more challenging, resulting in diagnostic accuracies that can drop to below a tenth of the original accuracy. Overall, we observe that agents sourced from Claude-3.5 outperform other LLM backbones in most settings. Nevertheless, we see stark differences in the LLMs' ability to make use of tools, such as experiential learning, adaptive retrieval, and reflection cycles. Strikingly, Llama-3 shows up to 92% relative improvements with the notebook tool that allows for writing and editing notes that persist across cases. To further scrutinize our clinical simulations, we leverage real-world electronic health records, perform a clinical reader study, perturb agents with biases, and explore novel patient-centric metrics that this interactive environment firstly enables."
W4387885897,The Rational Agent Benchmark for Data Visualization,Yifan Wu; Ziyang Guo; Michalis Mamakos; Jason D. Hartline; Jessica Hullman,10.1109/tvcg.2023.3326513,2023,2023-10-23,article,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,8,False,closed,,journal,34,agent benchmark|agentic benchmark,https://doi.org/10.1109/tvcg.2023.3326513,"Understanding how helpful a visualization is from experimental results is difficult because the observed performance is confounded with aspects of the study design, such as how useful the information that is visualized is for the task. We develop a rational agent framework for designing and interpreting visualization experiments. Our framework conceives two experiments with the same setup: one with behavioral agents (human subjects), and the other one with a hypothetical rational agent. A visualization is evaluated by comparing the expected performance of behavioral agents to that of a rational agent under different assumptions. Using recent visualization decision studies from the literature, we demonstrate how the framework can be used to pre-experimentally evaluate the experiment design by bounding the expected improvement in performance from having access to visualizations, and post-experimentally to deconfound errors of information extraction from errors of optimization, among other analyses."
W4410068021,Toward Sensor-In-the-Loop LLM Agent: Benchmarks and Implications,Zhiwei Ren; Junbo Li; Minjia Zhang; Di Wang; Xiaoran Fan; Longfei Shangguan,10.1145/3715014.3722082,2025,2025-05-04,article,,,5,True,gold,,,18,agent benchmark|agentic benchmark,https://doi.org/10.1145/3715014.3722082,"This paper explores sensor-informed personal agents that can take advantage of sensor hints on wearables to enhance the personal agent's response. We demonstrate that such a sensor-in-the-loop AI agent design can be easily integrated into existing LLM agents by building a prototype named WellMax based on existing well-developed techniques such as structured prompt templates and few-shot prompting. The head-to-head comparison with a non-sensor-informed agent across five use scenarios demonstrates that this sensor-in-the-loop design can effectively improve users' needs and their overall experience. The deep-dive into agents' replies and participants' feedback further reveals that sensor-in-the-loop agents not only provide more contextually relevant responses but also exhibit a better understanding of user priorities and situational nuances. In addition, we conduct two case studies to examine the potential pitfalls and distill key insights from this sensor-in-the-loop agent. We hope this work can spawn new ideas for building more intelligent, empathetic, and effective AI-driven personal assistants."
W4399991282,GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,"Haoyang Liu; Chen, Shuyu; Zhang, Ye; Wang, Haohan",10.48550/arxiv.2406.15341,2024,2024-06-21,preprint,arXiv (Cornell University),Cornell University,4,True,green,,repository,0,agent benchmark|agentic benchmark,https://doi.org/10.48550/arxiv.2406.15341,"Recent advancements in machine learning have significantly improved the identification of disease-associated genes from gene expression datasets. However, these processes often require extensive expertise and manual effort, limiting their scalability. Large Language Model (LLM)-based agents have shown promise in automating these tasks due to their increasing problem-solving abilities. To support the evaluation and development of such methods, we introduce GenoTEX, a benchmark dataset for the automated analysis of gene expression data. GenoTEX provides analysis code and results for solving a wide range of gene-trait association problems, encompassing dataset selection, preprocessing, and statistical analysis, in a pipeline that follows computational genomics standards. The benchmark includes expert-curated annotations from bioinformaticians to ensure accuracy and reliability. To provide baselines for these tasks, we present GenoAgent, a team of LLM-based agents that adopt a multi-step programming workflow with flexible self-correction, to collaboratively analyze gene expression datasets. Our experiments demonstrate the potential of LLM-based methods in analyzing genomic data, while error analysis highlights the challenges and areas for future improvement. We propose GenoTEX as a promising resource for benchmarking and enhancing automated methods for gene expression data analysis. The benchmark is available at https://github.com/Liu-Hy/GenoTEX."
W4362700320,The Rational Agent Benchmark for Data Visualization,Yifan Wu; ZiyangGuo; Michalis Mamakos; Jason D. Hartline; Jessica Hullman,10.31219/osf.io/d7pbh,2023,2023-04-06,preprint,,,2,True,gold,,,37,agent benchmark|agentic benchmark,https://doi.org/10.31219/osf.io/d7pbh,"Understanding how helpful a visualization is from experimental results is difficult because the observed performance is confounded with aspects of the study design, such as how useful the information that is visualized is for the task. We develop a rational agent framework for designing and interpreting visualization experiments. Our framework conceives two experiments with the same setup: one with behavioral agents (human subjects), the other one with a hypothetical rational agent. A visualization is evaluated by comparing the expected performance of behavioral agents to that of rational agent under different assumptions. Using recent visualization decision studies from the literature, we demonstrate how the framework can be used to pre-experimentally evaluate the experiment design by bounding the expected improvement in performance from having access to visualizations, and post-experimentally to deconfound errors of information extraction from errors of optimization, among other analyses."
W4412887805,CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents,Tianqi Xu; Linyao Chen; Dai-Jie Wu; Yanjun Chen; Zecheng Zhang; Xiang Yao; Zhiqiang Xie; Yongchao Chen; Shilong Liu; Bochen Qian; Anjie Yang; Zhaoxuan Jin; Jianbo Deng; Philip Torr; Bernard Ghanem; Guohao Li,10.18653/v1/2025.findings-acl.1113,2025,2025-01-01,article,,,2,True,gold,,,0,agent benchmark|agentic benchmark|language model agents benchmark,https://doi.org/10.18653/v1/2025.findings-acl.1113,"Tianqi Xu, Linyao Chen, Dai-Jie Wu, Yanjun Chen, Zecheng Zhang, Xiang Yao, Zhiqiang Xie, Yongchao Chen, Shilong Liu, Bochen Qian, Anjie Yang, Zhaoxuan Jin, Jianbo Deng, Philip Torr, Bernard Ghanem, Guohao Li. Findings of the Association for Computational Linguistics: ACL 2025. 2025."
W4403707291,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,Zachary S. Siegel; Sayash Kapoor; Nitya Nagdir; Benedikt Stroebl; Arvind Narayanan,10.48550/arxiv.2409.11363,2024,2024-09-17,preprint,arXiv (Cornell University),Cornell University,3,True,green,,repository,0,agent benchmark|agentic benchmark,https://doi.org/10.48550/arxiv.2409.11363,"AI agents have the potential to aid users on a variety of consequential tasks, including conducting scientific research. To spur the development of useful agents, we need benchmarks that are challenging, but more crucially, directly correspond to real-world tasks of interest. This paper introduces such a benchmark, designed to measure the accuracy of AI agents in tackling a crucial yet surprisingly challenging aspect of scientific research: computational reproducibility. This task, fundamental to the scientific process, involves reproducing the results of a study using the provided code and data. We introduce CORE-Bench (Computational Reproducibility Agent Benchmark), a benchmark consisting of 270 tasks based on 90 scientific papers across three disciplines (computer science, social science, and medicine). Tasks in CORE-Bench consist of three difficulty levels and include both language-only and vision-language tasks. We provide an evaluation system to measure the accuracy of agents in a fast and parallelizable way, saving days of evaluation time for each run compared to a sequential implementation. We evaluated two baseline agents: the general-purpose AutoGPT and a task-specific agent called CORE-Agent. We tested both variants using two underlying language models: GPT-4o and GPT-4o-mini. The best agent achieved an accuracy of 21% on the hardest task, showing the vast scope for improvement in automating routine scientific tasks. Having agents that can reproduce existing work is a necessary step towards building agents that can conduct novel research and could verify and improve the performance of other research agents. We hope that CORE-Bench can improve the state of reproducibility and spur the development of future research agents."
W4402705816,"AeroVerse: UAV-Agent Benchmark Suite for Simulating, Pre-training, Finetuning, and Evaluating Aerospace Embodied World Models",Fanglong Yao; Yuanchang Yue; Youzhi Liu; Xian Sun; Kun Fu,10.48550/arxiv.2408.15511,2024,2024-08-28,preprint,arXiv (Cornell University),Cornell University,4,True,green,,repository,0,agent benchmark|agentic benchmark|agent evaluation benchmark,https://doi.org/10.48550/arxiv.2408.15511,"Aerospace embodied intelligence aims to empower unmanned aerial vehicles (UAVs) and other aerospace platforms to achieve autonomous perception, cognition, and action, as well as egocentric active interaction with humans and the environment. The aerospace embodied world model serves as an effective means to realize the autonomous intelligence of UAVs and represents a necessary pathway toward aerospace embodied intelligence. However, existing embodied world models primarily focus on ground-level intelligent agents in indoor scenarios, while research on UAV intelligent agents remains unexplored. To address this gap, we construct the first large-scale real-world image-text pre-training dataset, AerialAgent-Ego10k, featuring urban drones from a first-person perspective. We also create a virtual image-text-pose alignment dataset, CyberAgent Ego500k, to facilitate the pre-training of the aerospace embodied world model. For the first time, we clearly define 5 downstream tasks, i.e., aerospace embodied scene awareness, spatial reasoning, navigational exploration, task planning, and motion decision, and construct corresponding instruction datasets, i.e., SkyAgent-Scene3k, SkyAgent-Reason3k, SkyAgent-Nav3k and SkyAgent-Plan3k, and SkyAgent-Act3k, for fine-tuning the aerospace embodiment world model. Simultaneously, we develop SkyAgentEval, the downstream task evaluation metrics based on GPT-4, to comprehensively, flexibly, and objectively assess the results, revealing the potential and limitations of 2D/3D visual language models in UAV-agent tasks. Furthermore, we integrate over 10 2D/3D visual-language models, 2 pre-training datasets, 5 finetuning datasets, more than 10 evaluation metrics, and a simulator into the benchmark suite, i.e., AeroVerse, which will be released to the community to promote exploration and development of aerospace embodied intelligence."
W4412877164,Evaluation and Benchmarking of LLM Agents: A Survey,Mahmoud Mohammadi; Yipeng Li; Jane C. Lo; Wendy Yip,10.1145/3711896.3736570,2025,2025-08-03,article,,,24,True,gold,,,61,agent benchmark|agentic benchmark|LLM agents evaluation|agent evaluation benchmark,https://doi.org/10.1145/3711896.3736570,"The rise of LLM-based agents has opened new frontiers in AI applications, yet evaluating these agents remains a complex and underdeveloped area.This survey provides an in-depth overview of the emerging field of LLM agent evaluation, introducing a twodimensional taxonomy that organizes existing work along (1) evaluation objectives-what to evaluate, such as agent behavior, capabilities, reliability, and safety-and (2) evaluation process-how to evaluate, including interaction modes, datasets and benchmarks, metric computation methods, and tooling.In addition to taxonomy, we highlight enterprise-specific challenges, such as role-based access to data, the need for reliability guarantees, dynamic and longhorizon interactions, and compliance, which are often overlooked in current research.We also identify the future research directions, including holistic, more realistic, and scalable evaluation.This work aims to bring clarity to the fragmented landscape of agent evaluation and provide a framework for systematic assessment, enabling researchers and practitioners to evaluate LLM agents for real-world deployment."
W7119474322,Survey of Emerging Trends in LLM Agent Benchmarking,Danyang Cao; Ben Yu,10.1145/3784013.3784018,2025,2025-11-14,article,,,1,True,gold,,,4,agent benchmark|agentic benchmark,https://doi.org/10.1145/3784013.3784018,"As LLMs evolve into agents that can call tools and interact with environments, static benchmarks no longer reflect practical performance in realistic environments. This paper surveys current benchmarks and proposes a four-stage framework—generation, execution, evaluation, and compliance—that maps existing studies onto capability, scenario, and system axes. Comparing OSWorld, AgentBench, TravelPlanner, etc. Four principal gaps are identified: limited task coverage, fragmented evaluation metrics, high reproduction costs, and misalignment with human values. This study outlines five remedies: lightweight standards, cross-domain dynamic generation, self-supervised + preference-based evaluation, continual-learning testing, and open governance, envisioning an evolvable, auditable, and accountable “universal safety checkpoint” for large-scale AGI deployment."
W4402670146,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Qiusi Zhan; Zhixiang Liang; Zifan Ying; Daniel Kang,10.18653/v1/2024.findings-acl.624,2024,2024-01-01,article,,,42,True,gold,,,0,agent benchmark|agentic benchmark|language model agents benchmark,https://doi.org/10.18653/v1/2024.findings-acl.624,"Recent work has embodied LLMs as agents, allowing them to access tools, perform actions, and interact with external content (e.g., emails or websites).However, external content introduces the risk of indirect prompt injection (IPI) attacks, where malicious instructions are embedded within the content processed by LLMs, aiming to manipulate these agents into executing detrimental actions against users.Given the potentially severe consequences of such attacks, establishing benchmarks to assess and mitigate these risks is imperative.In this work, we introduce INJECAGENT, a benchmark designed to assess the vulnerability of tool-integrated LLM agents to IPI attacks.INJECAGENT comprises 1,054 test cases covering 17 different user tools and 62 attacker tools.We categorize attack intentions into two primary types: direct harm to users and exfiltration of private data.We evaluate 30 different LLM agents and show that agents are vulnerable to IPI attacks, with ReAct-prompted GPT-4 vulnerable to attacks 24% of the time.Further investigation into an enhanced setting, where the attacker instructions are reinforced with a hacking prompt, shows additional increases in success rates, nearly doubling the attack success rate on the ReAct-prompted GPT-4.Our findings raise questions about the widespread deployment of LLM Agents.Our benchmark is available at https://github.com/"
W7119224602,A MODULAR BENCHMARKING FRAMEWORK FOR EVALUATING LLM-BASED AGENT APPLICATIONS,Karthik Perikala,10.34218/ijrcait_09_01_001,2026,2026-01-06,article,INTERNATIONAL JOURNAL OF RESEARCH IN COMPUTER APPLICATIONS AND INFORMATION TECHNOLOGY,,29,True,bronze,,journal,0,agent benchmark|agentic benchmark|LLM agents evaluation|agent evaluation benchmark,https://doi.org/10.34218/ijrcait_09_01_001,
W4404782219,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,Tongxin Yuan; Zhiwei He; Lingzhong Dong; Yiming Wang; Ruijie Zhao; Tian Xia; XU Li-zhen; Binglin Zhou; Fangqi Li; Zhuosheng Zhang; Rui Wang; Gongshen Liu,10.18653/v1/2024.findings-emnlp.79,2024,2024-01-01,article,,,28,True,gold,,,0,agent benchmark|agentic benchmark,https://doi.org/10.18653/v1/2024.findings-emnlp.79,"Tongxin Yuan, Zhiwei He, Lingzhong Dong, Yiming Wang, Ruijie Zhao, Tian Xia, Lizhen Xu, Binglin Zhou, Fangqi Li, Zhuosheng Zhang, Rui Wang, Gongshen Liu. Findings of the Association for Computational Linguistics: EMNLP 2024. 2024."
W4402684061,CharacterEval: A Chinese Benchmark for Role-Playing Conversational Agent Evaluation,Quan Tu; Shilong Fan; Zihang Tian; Tianhao Shen; Shuo Shang; Xin Rui Gao; Rui Yan,10.18653/v1/2024.acl-long.638,2024,2024-01-01,article,,,27,True,gold,,,0,agent benchmark|agentic benchmark|agent evaluation benchmark,https://doi.org/10.18653/v1/2024.acl-long.638,"Recently, the advent of large language models (LLMs) has revolutionized generative agents.Among them, Role-Playing Conversational Agents (RPCAs) attract considerable attention due to their ability to emotionally engage users.However, the absence of a comprehensive benchmark impedes progress in this field.To bridge this gap, we introduce Char-acterEval, a Chinese benchmark for comprehensive RPCA assessment, complemented by a tailored high-quality dataset.The dataset comprises 1,785 multi-turn role-playing dialogues, encompassing 11,376 examples and featuring 77 characters derived from Chinese novels and scripts.It was carefully constructed, beginning with initial dialogue extraction via GPT-4, followed by rigorous human-led quality control, and enhanced with in-depth character profiles sourced from Baidu Baike.Charac-terEval employs a multifaceted evaluation approach, encompassing thirteen targeted metrics on four dimensions.To facilitate the convenient evaluation for these subjective metrics in CharacterEval, we further developed Charac-terRM, a role-playing reward model based on human annotations, which has a higher correlation with human judgment compared to GPT-4.Comprehensive experiments on Char-acterEval demonstrate that Chinese LLMs exhibit more promising capabilities than GPT-4 in Chinese role-playing conversation.Source code, data source, and reward model will be publicly accessible at https://github.com/ morecry/CharacterEval."
W4408167800,"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities",Yagmur Yigit; Mohamed Amine Ferrag; Mohamed Chahine Ghanem; Iqbal H. Sarker; Λέανδρος Μαγλαράς; Christos Chrysoulas; Naghmeh Moradpoor; Norbert Tihanyi; Helge Janicke,10.3390/s25061666,2025,2025-03-07,article,Sensors,Multidisciplinary Digital Publishing Institute,40,True,gold,,journal,77,agent benchmark|agentic benchmark|LLM agents evaluation|agent evaluation benchmark,https://doi.org/10.3390/s25061666,"Critical National Infrastructures (CNIs)-including energy grids, water systems, transportation networks, and communication frameworks-are essential to modern society yet face escalating cybersecurity threats. This review paper comprehensively analyzes AI-driven approaches for Critical Infrastructure Protection (CIP). We begin by examining the reliability of CNIs and introduce established benchmarks for evaluating Large Language Models (LLMs) within cybersecurity contexts. Next, we explore core cybersecurity issues, focusing on trust, privacy, resilience, and securability in these vital systems. Building on this foundation, we assess the role of Generative AI and LLMs in enhancing CIP and present insights on applying Agentic AI for proactive defense mechanisms. Finally, we outline future directions to guide the integration of advanced AI methodologies into protecting critical infrastructures. Our paper provides a strategic roadmap for researchers and practitioners committed to fortifying national infrastructures against emerging cyber threats through this synthesis of current challenges, benchmarking strategies, and innovative AI applications."
W4413801638,MedAgentBench: A Virtual EHR Environment to Benchmark Medical LLM Agents,Yixing Jiang; Kameron Collin Black; Gloria Geng; Dae-Gyun Park; James Zou; Andrew Y. Ng; Jonathan H. Chen,10.1056/aidbp2500144,2025,2025-08-14,article,NEJM AI,,26,True,bronze,,journal,18,agent benchmark|agentic benchmark,https://doi.org/10.1056/aidbp2500144,"BACKGROUND Recent large language models (LLMs) have demonstrated significant advancements, particularly in their ability to serve as agents, thereby surpassing their traditional role as chatbots.These agents can leverage their planning and tool utilization capabilities to address tasks specified at a high level.This suggests new potential to reduce the burden of administrative tasks and address current health care staff shortages.However, a standardized dataset to benchmark the agent capabilities of LLMs in medical applications is currently lacking, making it difficult to evaluate their performance on complex tasks in interactive health care environments. METHODSTo address this gap in the deployment of agentic artificial intelligence (AI) in health care, we introduce MedAgentBench, a broad evaluation suite designed to assess the agent capabilities of LLMs within medical records contexts.MedAgentBench encompasses 300 patient-specific clinically derived tasks from 10 categories written by human physicians, realistic profiles of 100 patients with over 700,000 data elements, a Fast Healthcare Interoperability Resources-compliant interactive environment, and an accompanying codebase.The environment uses standard application programming interfaces and communication infrastructure used in modern electronic health record (EHR) systems so that it can be easily migrated into live EHR systems. RESULTSMedAgentBench presents an unsaturated agent-oriented benchmark at which current state-of-the-art LLMs exhibit some ability to succeed.The best model (Claude 3.5 Sonnet v2) achieves a success rate of 69.67%.However, there is still substantial room for improvement, which gives the community a clear direction for future optimization efforts.Furthermore, there is significant variation in performance across task categories.CONCLUSIONS Agent-based task frameworks and benchmarks are the necessary next step to advance the potential and capabilities for effectively improving and integrating AI systems into clinical workflows.MedAgentBench establishes this and is publicly available at https://github .com /stanfordmlgroup /MedAgentBench, offering a valuable framework for model developers to track progress and drive continuous improvements in the agent capabilities of LLMs within the medical domain."
W4400340530,CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents,"Tianqi Xu; Linyao Chen; Dai-Jie Wu; Yanjun Chen; Zecheng Zhang; Xiang Yao; Zhiqiang Xie; Yongchao Chen; Shilong Liu; Bochen Qian; Yang, Anjie; Jin, Zhaoxuan; Deng, Jianbo; Torr, Philip; Ghanem, Bernard; Li, Guohao",10.48550/arxiv.2407.01511,2024,2024-07-01,preprint,arXiv (Cornell University),Cornell University,1,True,green,,repository,0,agent benchmark|agentic benchmark|language model agents benchmark,https://doi.org/10.48550/arxiv.2407.01511,"The development of autonomous agents increasingly relies on Multimodal Language Models (MLMs) to perform tasks described in natural language with GUI environments, such as websites, desktop computers, or mobile phones. Existing benchmarks for MLM agents in interactive environments are limited by their focus on a single environment, lack of detailed and generalized evaluation methods, and the complexities of constructing tasks and evaluators. To overcome these limitations, we introduce Crab, the first agent benchmark framework designed to support cross-environment tasks, incorporating a graph-based fine-grained evaluation method and an efficient mechanism for task and evaluator construction. Our framework supports multiple devices and can be easily extended to any environment with a Python interface. Leveraging Crab, we developed a cross-platform Crab Benchmark-v0 comprising 120 tasks in computer desktop and mobile phone environments. We evaluated four advanced MLMs using different single and multi-agent system configurations on this benchmark. The experimental results demonstrate that the single agent with GPT-4o achieves the best completion ratio of 38.01%. All framework code, agent code, and task datasets are publicly available at https://github.com/camel-ai/crab."
W4413886873,CFA-Bench: Cybersecurity Forensic Llm Agent Benchmark and Testing,Francesco De Santis; Kai Huang; Rodolfo Valentim; Danilo Giordano; Marco Mellia; Zied Ben Houidi; Dario Rossi,10.1109/eurospw67616.2025.00031,2025,2025-06-30,article,,,1,False,closed,,,9,agent benchmark|agentic benchmark,https://doi.org/10.1109/eurospw67616.2025.00031,"This paper investigates the capabilities and limitations of Large Language Model (LLM) agents in performing cybersecurity forensic tasks, including incident response, digital evidence correlation, and threat attribution. To enable a fair comparison of agents and LLMs, we introduce CFAbench, a novel benchmark designed to evaluate their forensic reasoning abilities. We leverage a controlled testbed where vulnerable services are instantiated, attacked, and monitored, generating forensic evidence in the form of packet captures and log traces. Using this setup, we generate 20 curated incidents targeting <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\mathbf{1 3}$</tex> distinct services, focusing on recent vulnerabilities. Each incident presents progressively complex checkpoints, culminating in the identification of the specific Common Vulnerabilities and Exposure (CVE). We evaluate different LLM-powered agent architectures, equipping them with essential forensic tools such as a PCAP Reader and an Information Retriever. Each agent is asked to analyse the incidents to systematically track their performance across different forensic checkpoints. While preliminary, our findings demonstrate the potential of LLM agents in cybersecurity forensics, revealing their strengths and critical areas for improvement. This study underscores the need for standardized benchmarks to assess LLM agents in cyber threat analysis rigorously. For this, we make CFA-bench open to the research community. Our results provide a foundation for future research aimed at refining agent architectures and enhancing their forensic reasoning capabilities."
