lexicon,idx,oa_id,title,abstract_first400,genuine_target,notes
ToolUse,1,W4396914156,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,"Evaluating large language models (LLM) in clinical scenarios is crucial to assessing their potential clinical utility. Existing benchmarks rely heavily on static question-answering, which does not accurately depict the complex, sequential nature of clinical decision-making. Here, we introduce AgentClinic, a multimodal agent benchmark for evaluating LLMs in simulated clinical environments that incl",0,simulated clinical dialogue benchmark; tool invocation not evidenced
ToolUse,2,W7128818021,OpenCDA-MARL: A Unified Benchmarking Framework for Cooperative Autonomous Intersection Management With Multi-Agent Reinforcement Learning,"Single-vehicle autonomy remains constrained by perception errors and uncoordinated maneuvers, resulting in avoidable collisions and throughput losses at intersections. Cooperative Driving Automation (CDA) offers substantial gains, yet fragmented toolchains hinder progress: industry develops closed systems, while academic studies rely on simplified simulators that lack realistic dynamics. We introd",0,'toolchains' spurious; MARL driving benchmark
ToolUse,3,W4405627213,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,"We interact with computers on an everyday basis, be it in everyday life or work, and many aspects of work can be done entirely with access to a computer and the Internet. At the same time, thanks to improvements in large language models (LLMs), there has also been a rapid development in AI agents that interact with and affect change in their surrounding environments. But how performant are AI agen",1,agents complete work tasks via computer/Internet software tools
ToolUse,4,W4403880476,Can Machines Think Like Humans? A Behavioral Evaluation of LLM-Agents in Dictator Games,"As Large Language Model (LLM)-based agents increasingly undertake real-world tasks and engage with human society, how well do we understand their behaviors? We (1) investigate how LLM agents' prosocial behaviors---a fundamental social norm---can be induced by different personas and benchmarked against human behaviors; and (2) introduce a behavioral and social science approach to evaluate LLM agent",0,behavioral/social evaluation; no tool invocation
ToolUse,5,W4402670435,You Only Look at Screens: Multimodal Chain-of-Action Agents,,0,"no abstract; GUI actions, not tool/API selection"
ToolUse,6,W4396653533,WorkBench: a Benchmark Dataset for Agents in a Realistic Workplace Setting,"We introduce WorkBench: a benchmark dataset for evaluating agents' ability to execute tasks in a workplace setting. WorkBench contains a sandbox environment with five databases, 26 tools, and 690 tasks. These tasks represent common business activities, such as sending emails and scheduling meetings. The tasks in WorkBench are challenging as they require planning, tool selection, and often multiple",1,sandbox with 26 tools; tool selection scored
ToolUse,7,W4400267107,ShortcutsBench: A Large-Scale Real-world Benchmark for API-based Agents,"Recent advancements in integrating large language models (LLMs) with application programming interfaces (APIs) have gained significant interest in both academia and industry. Recent work demonstrates that these API-based agents exhibit relatively strong autonomy and planning capabilities. However, their ability to handle multi-dimensional difficulty levels, diverse task types, and real-world deman",1,benchmark for API-based agents
ToolUse,8,W7130648243,AutoONBench: a benchmark for large language model agents in autonomous optical networks,"The integration of large language models (LLMs) into autonomous optical networks (AONs) promises to revolutionize network management. However, the advancement of this field is currently hindered by the lack of a standardized evaluation framework. To bridge this gap, we introduce AutoONBench v1.0, the inaugural version of a comprehensive benchmark designed to assess LLM-based agentic systems within",0,network-management agent benchmark; tool/API invocation not stated
ToolUse,9,W4391057591,Magenta: Metrics and Evaluation Framework for Generative Agents based on LLMs,"Large Language Models (LLMs) have emerged as a driving force in the field of Natural Language Processing (NLP) with applications spanning various domains, including the development of Autonomous Generative Agents. Generative Agents are computational software programs designed to believably simulate human behavior by harnessing the capabilities of large language models. Through repetitive prompts a",0,generative-agent believability metrics; no tool evaluation
ToolUse,10,W4389520009,CREATOR: Tool Creation for Disentangling Abstract and Concrete Reasoning of Large Language Models,,1,tool creation/utilization is the core evaluated construct
ToolUse,11,W4404354192,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent,"Multimodal Retrieval Augmented Generation (mRAG) plays an important role in mitigating the ""hallucination"" issue inherent in multimodal large language models (MLLMs). Although promising, existing heuristic mRAGs typically predefined fixed retrieval processes, which causes two issues: (1) Non-adaptive Retrieval Queries. (2) Overloaded Retrieval Queries. However, these flaws cannot be adequately ref",0,retrieval-augmented VQA; not external tool selection
