source,title,doi,first_pass,type_hint,provisional,rationale
ACM,A Sim-to-Real Benchmark and Analysis of Open-Source Vision and Language Agents for PTZ Camera Tasks,10.1145/3757279.3785641,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,Agentic Performance at the Edge: Insights from Benchmarking,10.1145/3812836.3814741,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,Arena: Benchmarking AI Agent Frameworks Under Fixed-Model Conditions,10.1145/3786335.3813233,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,Benchmarking Memory Architectures for Mobile Agents in Short-Term and Long-Term Applications,10.1145/3812836.3814752,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,Benchmarking the DeepResearch Agent in the Game Domain,10.1145/3807246.3807324,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,Benchmarking the Overhead of Distributed Tracing Agents,10.1145/3777884.3797004,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,ColorBench: Benchmarking Mobile Agents with Graph-Structured Framework for Complex Long-Horizon Tasks,10.1145/3774904.3792215,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,DraftNEPABench: A Benchmark for Drafting NEPA Document Sections with Coding Agents,10.1145/3786335.3813132,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,FormFactory: An Interactive Benchmarking Suite for Multimodal Form-Filling Agents,10.1145/3746027.3758285,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,From Model Diagram to Code: A Benchmark Dataset and Multi-Agent Framework,10.1145/3746027.3755425,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,Hijacking JARVIS: Benchmarking Mobile GUI Agents against Unprivileged Third Parties,10.1145/3737902.3768354,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,"MVISU-Bench: Benchmarking Mobile Agents for Real-World Tasks by Multi-App, Vague, Interactive, Single-App and Unethical Instructions",10.1145/3746027.3755695,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,OpenMCP: an open-source self-hosted benchmarking harness for MCP-enabled computer use agents,10.1145/3805621.3807649,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,OWLViz: An Open-World Benchmark for Visual Question Answering,10.65109/epvo9609,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,Vibe Code Bench: Evaluating AI Models on End-to-End Web Application Development,10.1145/3786335.3813180,candidate_review,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,ViBench: A Benchmark on Vibe Coding,10.1145/3786335.3813162,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,"AgentQE-Bench: A Reproducible Evaluation Framework for Agentic AI Reliability, Safety, and ROI in CI/CD Pipelines",,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,An Agentic Approach to Synthetic Data Generation: Building and Benchmarking a COPA Dataset for Indonesian Language and Dialects,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,Benchmarking AI Agents for IT Automation Tasks with ITBench,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,Benchmarking Heuristic and Cooperative Agents in AbstractSwarm Logistics Scenarios,,candidate_review,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,Benchmarking Multi-Agent LLM and Single Agent LLM Efficiency for Contextual Text Generation,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,"Benchmarking Reference-Free LLM Agent Robustness Under Schema, Policy, and Toolset Drift",,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,CoSQA+: Enhancing Code Search Evaluation With a Multi-Choice Benchmark and Test-Driven Agents,,candidate_review,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,DSGBench: A Diverse Strategic Game Benchmark for Evaluating LLM-Based Agents in Complex Decision-Making Environments,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,Evaluating LLM-based Role-playing Agent Authenticity via Event-driven Response Simulation: A Benchmark on Real-World Events Responses,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use Under the Model Context Protocol,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,FOCAL: A Novel Benchmarking Technique for Multi-modal Agents,,candidate_review,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,From Binary to Multi-Class: Benchmarking AutoGluon Against Classical Machine Learning for Diabetes Prediction and the Rise of Agentic Clinical AI,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,"ICLAD 2025: Agents, Benchmarks, and the Next Wave of LLM-Aided Design [IEEE News]",/document/11359387/,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,Machine Learning vs. Agentic AI: Benchmarking RNA-Seq Disease Prediction with Candidate Biomarker Identification,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,MAIA: A Multidimensional Benchmark for Assessing Medical AI Agents,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
