Tier,Source,Candidate title,Link,screener2_decision,screener2_notes
1,ACM,A Sim-to-Real Benchmark and Analysis of Open-Source Vision and Language Agents for PTZ Camera Tasks,https://doi.org/10.1145/3757279.3785641,Include,sim-to-real VLA benchmark for sequential PTZ camera control
1,ACM,Agentic Performance at the Edge: Insights from Benchmarking,https://doi.org/10.1145/3812836.3814741,Include,benchmarks LLM agentic performance at edge across sequential tasks
1,ACM,Arena: Benchmarking AI Agent Frameworks Under Fixed-Model Conditions,https://doi.org/10.1145/3786335.3813233,Include,benchmark for AI agent frameworks under fixed-model conditions
1,ACM,Benchmarking Memory Architectures for Mobile Agents in Short-Term and Long-Term Applications,https://doi.org/10.1145/3812836.3814752,Include,memory architecture benchmark for mobile LLM agents
1,ACM,Benchmarking the DeepResearch Agent in the Game Domain,https://doi.org/10.1145/3807246.3807324,Include,benchmarks DeepResearch agent in sequential game domain
1,ACM,Benchmarking the Overhead of Distributed Tracing Agents,https://doi.org/10.1145/3777884.3797004,Exclude,"distributed tracing system monitoring, not LLM sequential agents"
1,ACM,ColorBench: Benchmarking Mobile Agents with Graph-Structured Framework for Complex Long-Horizon Tasks,https://doi.org/10.1145/3774904.3792215,Include,mobile agent long-horizon benchmark with graph-structured eval
1,ACM,DraftNEPABench: A Benchmark for Drafting NEPA Document Sections with Coding Agents,https://doi.org/10.1145/3786335.3813132,Include,coding agent NEPA document drafting benchmark
1,ACM,FormFactory: An Interactive Benchmarking Suite for Multimodal Form-Filling Agents,https://doi.org/10.1145/3746027.3758285,Include,multimodal form-filling agents interactive benchmark
1,ACM,From Model Diagram to Code: A Benchmark Dataset and Multi-Agent Framework,https://doi.org/10.1145/3746027.3755425,Include,code generation benchmark with multi-agent framework
1,ACM,Hijacking JARVIS: Benchmarking Mobile GUI Agents against Unprivileged Third Parties,https://doi.org/10.1145/3737902.3768354,Include,mobile GUI agent security benchmark
1,ACM,"MVISU-Bench: Benchmarking Mobile Agents for Real-World Tasks by Multi-App, Vague, Interactive, Single-App and Unethical Instructions",https://doi.org/10.1145/3746027.3755695,Include,mobile agent multi-app real-world benchmark
1,ACM,OpenMCP: an open-source self-hosted benchmarking harness for MCP-enabled computer use agents,https://doi.org/10.1145/3805621.3807649,Include,MCP-enabled computer use agents benchmarking harness
1,ACM,OWLViz: An Open-World Benchmark for Visual Question Answering,https://doi.org/10.65109/epvo9609,Exclude,static visual QA benchmark; no sequential LLM agent evaluation
1,ACM,Towards a Playground to Democratize Experimentation and Benchmarking of AI Agents for Network Troubleshooting,https://doi.org/10.1145/3748496.3748990,Include,AI agent playground and benchmark for network troubleshooting
1,ACM,Vibe Code Bench: Evaluating AI Models on End-to-End Web Application Development,https://doi.org/10.1145/3786335.3813180,Include,end-to-end web app development evaluation benchmark
1,ACM,ViBench: A Benchmark on Vibe Coding,https://doi.org/10.1145/3786335.3813162,Include,vibe coding benchmark for LLM code agents
1,IEEE,"AgentQE-Bench: A Reproducible Evaluation Framework for Agentic AI Reliability, Safety, and ROI in CI/CD Pipelines",,Include,reproducible evaluation framework for agentic AI in CI/CD pipelines
1,IEEE,An Agentic Approach to Synthetic Data Generation: Building and Benchmarking a COPA Dataset for Indonesian Language and Dialects,,Exclude,"data creation approach evaluated, not reusable agent evaluation"
1,IEEE,Benchmarking AI Agents for IT Automation Tasks with ITBench,,Include,IT automation agents benchmark
1,IEEE,Benchmarking Heuristic and Cooperative Agents in AbstractSwarm Logistics Scenarios,,Exclude,heuristic non-LLM logistics swarm agents
1,IEEE,Benchmarking Multi-Agent LLM and Single Agent LLM Efficiency for Contextual Text Generation,,Exclude,"text generation efficiency comparison; single-step, not agent eval"
1,IEEE,"Benchmarking Reference-Free LLM Agent Robustness Under Schema, Policy, and Toolset Drift",,Include,LLM agent robustness benchmark under schema/toolset drift
1,IEEE,CoSQA+: Enhancing Code Search Evaluation With a Multi-Choice Benchmark and Test-Driven Agents,,Exclude,agents used as tools for code search; not being evaluated
1,IEEE,DSGBench: A Diverse Strategic Game Benchmark for Evaluating LLM-Based Agents in Complex Decision-Making Environments,,Include,LLM agents in diverse strategic game benchmark
1,IEEE,Evaluating LLM-based Role-playing Agent Authenticity via Event-driven Response Simulation: A Benchmark on Real-World Events Responses,,Exclude,single-step role-play response authenticity; not sequential state-altering
1,IEEE,FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use Under the Model Context Protocol,,Include,LLM financial tool-use agents benchmark under MCP
1,IEEE,FOCAL: A Novel Benchmarking Technique for Multi-modal Agents,,Include,novel benchmarking technique for multimodal LLM agents
