attribute,n_AB,raw_AB,kappa_AB,n_HvsHuman,raw_HvsHuman,kappa_HvsHuman
Planning,50,0.84,0.669,30,0.367,0.089
Reasoning,50,0.8,0.6,26,0.308,-0.078
ToolUse,50,0.9,0.747,31,0.742,0.412
Coding,50,0.9,0.494,31,0.484,0.042
Memory,50,1.0,nan,36,0.944,0.0
Collaboration,50,0.96,0.648,35,0.886,0.453
ScientificDiscovery,50,1.0,1.0,36,0.917,0.357
Recommendation,50,1.0,nan,36,1.0,nan
LongHorizonExecution,50,0.94,0.789,33,0.879,0.542
WebInteraction,50,0.98,0.912,36,0.917,0.75
Static,50,0.9,0.608,31,0.742,0.279
Interactive,50,0.8,0.578,32,0.719,0.363
Dynamic,50,0.84,0.338,33,0.879,0.267
Simulated,50,0.8,0.603,31,0.387,-0.057
RealWorld,50,0.96,0.834,35,0.629,0.18
Embodied,50,0.98,0.658,36,1.0,1.0
Offline,50,0.92,0.703,32,0.812,0.0
Online,50,0.78,0.539,31,0.258,0.033
HumanInTheLoop,50,0.98,0.0,36,0.972,0.0
MultiAgent,50,0.9,0.615,36,0.889,0.535
FullyAutonomous,50,0.9,0.769,36,0.306,0.0
OpenSource,50,1.0,1.0,36,0.5,0.05
DatasetReleased,50,0.98,0.658,35,0.771,-0.053
EnvironmentReleased,50,1.0,1.0,36,0.806,0.182
DockerSupport,50,1.0,1.0,36,0.972,0.654
EvalScriptsAvailable,50,0.98,0.0,35,0.971,0.0
POOLED,1300,0.925,0.768,877,0.745,0.261
