oa_id,title,decision,matched_on,kept_oa_id,reason
W4385327683,Autonomous Tester Agent Benchmark,kept,,W4385327683,first occurrence
W4396914156,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,kept,,W4396914156,first occurrence
W4387885897,The Rational Agent Benchmark for Data Visualization,kept,,W4387885897,first occurrence
W4410068021,Toward Sensor-In-the-Loop LLM Agent: Benchmarks and Implications,kept,,W4410068021,first occurrence
W4399991282,GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,kept,,W4399991282,first occurrence
W4362700320,The Rational Agent Benchmark for Data Visualization,dropped,exact_norm_title,W4387885897,duplicate of kept (exact_norm_title)
W4412887805,CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents,kept,,W4412887805,first occurrence
W4403707291,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,kept,,W4403707291,first occurrence
W4402705816,"AeroVerse: UAV-Agent Benchmark Suite for Simulating, Pre-training, Finetuning, and Evaluating Aerospace Embodied World M",kept,,W4402705816,first occurrence
W4412877164,Evaluation and Benchmarking of LLM Agents: A Survey,kept,,W4412877164,first occurrence
W7119474322,Survey of Emerging Trends in LLM Agent Benchmarking,kept,,W7119474322,first occurrence
W4402670146,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,kept,,W4402670146,first occurrence
W7119224602,A MODULAR BENCHMARKING FRAMEWORK FOR EVALUATING LLM-BASED AGENT APPLICATIONS,kept,,W7119224602,first occurrence
W4404782219,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,kept,,W4404782219,first occurrence
W4402684061,CharacterEval: A Chinese Benchmark for Role-Playing Conversational Agent Evaluation,kept,,W4402684061,first occurrence
W4408167800,"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opport",kept,,W4408167800,first occurrence
W4413801638,MedAgentBench: A Virtual EHR Environment to Benchmark Medical LLM Agents,kept,,W4413801638,first occurrence
W4400340530,CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents,dropped,exact_norm_title,W4412887805,duplicate of kept (exact_norm_title)
W4413886873,CFA-Bench: Cybersecurity Forensic Llm Agent Benchmark and Testing,kept,,W4413886873,first occurrence
W4402671956,Benchmarking Data Science Agents,kept,,W4402671956,first occurrence
W4391591592,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,kept,,W4391591592,first occurrence
W4411120574,Towards Reliable Agents: Benchmarking Customized LLM-Based Retrieval-Augmented Generation Frameworks with Deployment Val,kept,,W4411120574,first occurrence
W4402671905,Mobile-Bench: An Evaluation Benchmark for LLM-based Mobile Agents,kept,,W4402671905,first occurrence
W4385825419,BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,kept,,W4385825419,first occurrence
W4415796190,Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making,kept,,W4415796190,first occurrence
W4415797693,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,kept,,W4415797693,first occurrence
W4412889702,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,kept,,W4412889702,first occurrence
W4403564213,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,kept,,W4403564213,first occurrence
W4403884175,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,kept,,W4403884175,first occurrence
W4404782852,DA-Code: Agent Data Science Code Generation Benchmark for Large Language Models,kept,,W4404782852,first occurrence
W4404481306,"Benchmarking Large Language Models for Multi-agent Systems: A Comparative Analysis of AutoGen, CrewAI, and TaskWeaver",kept,,W4404481306,first occurrence
W4402671485,AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,kept,,W4402671485,first occurrence
W4404781154,BLADE: Benchmarking Language Model Agents for Data-Driven Science,kept,,W4404781154,first occurrence
W4402856941,POGEMA: A Benchmark Platform for Cooperative Multi-Agent Pathfinding,kept,,W4402856941,first occurrence
W4405627213,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,kept,,W4405627213,first occurrence
W4415800716,WFCRL: A Multi-Agent Reinforcement Learning Benchmark for Wind Farm Control,kept,,W4415800716,first occurrence
W4389363807,BenchMARL: Benchmarking Multi-Agent Reinforcement Learning,kept,,W4389363807,first occurrence
W4402683822,CToolEval: A Chinese Benchmark for LLM-Powered Agent Evaluation in Real-World API Interactions,kept,,W4402683822,first occurrence
W4403943319,Seal-Tools: Self-instruct Tool Learning Dataset for Agent Tuning and Detailed Benchmark,kept,,W4403943319,first occurrence
W4380714553,A Versatile Multi-Agent Reinforcement Learning Benchmark for Inventory Management,kept,,W4380714553,first occurrence
W4407806895,MLGym: A New Framework and Benchmark for Advancing AI Research Agents,kept,,W4407806895,first occurrence
W4403364962,Benchmarking Agentic Workflow Generation,kept,,W4403364962,first occurrence
W4394782272,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,dropped,exact_norm_title,W4415797693,duplicate of kept (exact_norm_title)
W4399836817,$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,kept,,W4399836817,first occurrence
W4415427913,From Grounding to Planning: Benchmarking Bottlenecks in Web Agents,kept,,W4415427913,first occurrence
W7124289417,TaxAI: A Dynamic Economic Simulator and Benchmark for Multi-agent Reinforcement Learning,kept,,W7124289417,first occurrence
W4406841370,MedAgentBench: A Realistic Virtual EHR Environment to Benchmark Medical LLM Agents,kept,,W4406841370,first occurrence
W4404792846,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,kept,,W4404792846,first occurrence
W4412886800,INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,kept,,W4412886800,first occurrence
W4413402046,EH-Benchmark: Ophthalmic hallucination benchmark and agent-driven top-down traceable reasoning workflow,kept,,W4413402046,first occurrence
W4391899415,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,kept,,W4391899415,first occurrence
W4392538073,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,dropped,exact_norm_title,W4402670146,duplicate of kept (exact_norm_title)
W4413145608,ComfyBench: Benchmarking LLM-based Agents in ComfyUI for Autonomously Designing Collaborative AI Systems,kept,,W4413145608,first occurrence
W4400612103,GTA: A Benchmark for General Tool Agents,kept,,W4400612103,first occurrence
W4416036279,CityEQA: A Hierarchical LLM Agent on Embodied Question Answering Benchmark in City Space,kept,,W4416036279,first occurrence
W4404545083,OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,kept,,W4404545083,first occurrence
W4403345948,Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making,dropped,exact_norm_title,W4415796190,duplicate of kept (exact_norm_title)
W4415795995,RedCode: Risky Code Execution and Generation Benchmark for Code Agents,kept,,W4415795995,first occurrence
W7133246398,SMACv2: An Improved Benchmark for Cooperative Multi-Agent Reinforcement Learning,kept,,W7133246398,first occurrence
W4399837154,WebCanvas: Benchmarking Web Agents in Online Environments,kept,,W4399837154,first occurrence
W4410440509,RedTeamAI: A Benchmark for Assessing Autonomous Cybersecurity Agents,kept,,W4410440509,first occurrence
W4403888240,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,kept,,W4403888240,first occurrence
