title,status,reason
Quantifying Bias in Agentic Large Language Models: A Benchmarking Approach,dup_openalex,already in OpenAlex 648
ASIC-Agent: An Autonomous Multi-Agent System for ASIC Design with Benchmark Evaluation,candidate_review,manual review
"Multi-Agent Systems and Agentic AI in Business Process Automation: Taxonomy, Benchmarks, and an Open Research Agenda",candidate_agentic,LLM/agentic benchmark or eval
Benchmarking Multi-Agent LLM and Single Agent LLM Efficiency for Contextual Text Generation,candidate_agentic,LLM/agentic benchmark or eval
Development and Evaluation of an Agentic RAG with Embedded LLM-as-a Judge for Heart Failure Management: A Pilot Study,candidate_agentic,LLM/agentic benchmark or eval
"A Unified Evaluation Framework for Grounded LLM Architectures: Comparative Analysis of RAG, Self-RAG, and Agentic RAG",candidate_agentic,LLM/agentic benchmark or eval
A Critical Evaluation of Agentic AI in Cybersecurity: The Pros and the Cons,candidate_agentic,LLM/agentic benchmark or eval
RefuteBench 2.0 – Agentic Benchmark for Dynamic Evaluation of LLM Responses to Refutation Instruction,dup_openalex,already in OpenAlex 648
Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,dup_openalex,already in OpenAlex 648
A benchmark for multi-agent control of energy systems: The European economic area hybrid electricity network benchmark,exclude_RL,RL/control/robotics
Proposal for a Flexible Benchmark for Agent Based Models,dup_openalex,already in OpenAlex 648
Rethinking Change Detection: Benchmarking Multi-Agent Remote Sensing Image Change Understanding,exclude_remote sensing,remote sensing/imaging
MAIA: A Multidimensional Benchmark for Assessing Medical AI Agents,candidate_agentic,LLM/agentic benchmark or eval
FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use Under the Model Context Protocol,candidate_agentic,LLM/agentic benchmark or eval
FOCAL: A Novel Benchmarking Technique for Multi-modal Agents,candidate_review,manual review
Evaluating LLM-based Role-playing Agent Authenticity via Event-driven Response Simulation: A Benchmark on Real-World Events Responses,candidate_agentic,LLM/agentic benchmark or eval
Benchmarking AI Agents for IT Automation Tasks with ITBench,candidate_agentic,LLM/agentic benchmark or eval
CoSQA+: Enhancing Code Search Evaluation With a Multi-Choice Benchmark and Test-Driven Agents,candidate_review,manual review
Evaluation and Benchmarking the Agent Marketing Dialogue Scenarios with Large Language Models,dup_openalex,already in OpenAlex 648
AI Agents: Design and Evaluation of Gamified Conversational Agents,exclude_conversational,conversational/health/edu agent
Symbolic Agent-Based Simulation of Human vs AI Agents for Task Navigation and Evaluation of Performance,exclude_agent-based modeling,agent-based modeling/sim
Machine Learning vs. Agentic AI: Benchmarking RNA-Seq Disease Prediction with Candidate Biomarker Identification,candidate_agentic,LLM/agentic benchmark or eval
A Multi-Scale Attention Aggregation Framework for Agentic Tropical Rainforest Change Analysis and a New Benchmark Dataset,exclude_remote sensing,remote sensing/imaging
An Agentic Approach to Synthetic Data Generation: Building and Benchmarking a COPA Dataset for Indonesian Language and Dialects,candidate_agentic,LLM/agentic benchmark or eval
IEBench: Benchmarking Unlearning Identity-Event Entangled Concepts for MLLM-Based Systems in Agentic Edge Networks,candidate_agentic,LLM/agentic benchmark or eval
From Binary to Multi-Class: Benchmarking AutoGluon Against Classical Machine Learning for Diabetes Prediction and the Rise of Agentic Clinical AI,candidate_agentic,LLM/agentic benchmark or eval
Super-Resolution Ultrasound Imaging of Tumor Angiogenesis and Evaluation of Treatment Response to a Vascular Disrupting Agent,exclude_chem,chem/bio
Achieving Fairness in DareFightingICE Agents Evaluation Through a Delay Mechanism,candidate_review,manual review
Dynamic Pickup and Delivery Task Allocation in Multi-Agent Robotic Systems: Vacancy Chain Approaches Evaluation,candidate_review,manual review
IDE: A Multi-Agent-Driven Iterative Framework for Dynamic Evaluation of LLMs,dup_openalex,already in OpenAlex 648
SocialNormVR: Designing Symmetrical Reality Testbeds for AI Agent Social Norm Evaluation,candidate_agentic,LLM/agentic benchmark or eval
Comparative Evaluation of Neural Network and Agent-Based Models for Organic Chemistry Reaction Predictions,exclude_agent-based modeling,agent-based modeling/sim
Vulnerability Evaluation of Multi-Agent Reinforcement Learning-Based Distributed Secondary Voltage Control in Microgrids,exclude_RL,RL/control/robotics
Multi-Agent-Based Network Traffic Dataset Quality Evaluation Framework,candidate_review,manual review
The Optimization Design Method of Geogrid Slope Support System Based on Carbon Benefit Evaluation and AI Agent Model,exclude_RL,RL/control/robotics
NetIQ: A Tri-Modular Dynamic Evaluation Framework for Intelligent Agent Networks,candidate_review,manual review
AutoGen-TraceKit: A Lightweight Framework for Process-Aware Evaluation of LLM Agents,candidate_agentic,LLM/agentic benchmark or eval
Agent Kinematic Domain Randomization for Simulation-Based Performance Evaluation of Wearable Robots,exclude_RL,RL/control/robotics
"A Heuristic-First Evaluation Framework for Marketing AI Agents: Judging Quality, Actionability, and Trust",candidate_agentic,LLM/agentic benchmark or eval
Evaluation of Multi-Armed Bandit Decision Making in Multi-Agent Cyber Physical Games,candidate_review,manual review
Design and Evaluation of an Emotionally Intelligent Conversational Agent With Long-Term Context Awareness,exclude_conversational,conversational/health/edu agent
LLM-Based Dynamic Multi-Agent Systems for Evaluation of Financial Trading Mechanism,candidate_agentic,LLM/agentic benchmark or eval
LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,dup_openalex,already in OpenAlex 648
"A Multi-Agent AI Framework for Agile Workflow Automation, Issue Resolution, and Developer Performance Evaluation",candidate_review,manual review
Multi-Agent Cooperative Perception: A Structural Evaluation Framework for Autonomous Systems,candidate_review,manual review
Evaluation of a State-Aware Conversational AI Agent for Immersive Anatomy Education,exclude_conversational,conversational/health/edu agent
