oa_id,title,year,doi,url,repo,abstract_first200,Planning,Reasoning,ToolUse,Coding,Memory,Collaboration,ScientificDiscovery,Recommendation,LongHorizonExecution,WebInteraction,Static,Interactive,Dynamic,Simulated,RealWorld,Embodied,Offline,Online,HumanInTheLoop,MultiAgent,FullyAutonomous,OpenSource,DatasetReleased,EnvironmentReleased,DockerSupport,EvalScriptsAvailable,uncodable,notes
W7133246398,SMACv2: An Improved Benchmark for Cooperative Multi-Agent Reinforcement Learning,2023,10.52202/075280-1634,https://doi.org/10.52202/075280-1634,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-LLM cooperative MARL (StarCraft II) benchmark; screening false-positive.
W4384808169,BOLD: A Benchmark for Linked Data User Agents and a Simulation Framework for Dynamic Linked Data Environments,2023,10.48550/arxiv.2307.09114,https://doi.org/10.48550/arxiv.2307.09114,,"The paper presents the BOLD (Buildings on Linked Data) benchmark for Linked Data agents, next to the framework to simulate dynamic Linked Data environments, using which we built BOLD. The BOLD benchma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-LLM Linked Data user-agent benchmark; screening false-positive.
W4319993397,Multi-Agent Distributed Deep Learning Algorithm to Detect Cyber-Attacks in Distance Relays,2023,10.1109/access.2023.3239684,https://doi.org/10.1109/access.2023.3239684,,"Distance relays are critical components in protection systems of power grids that can be attacked by cyber-attackers. Indeed, a cyber-attacker injects fake data into a distance relay to pretend a faul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not a benchmark; non-LLM deep-learning method for distance-relay cyber-attack detection.
W4386883603,Toward Autonomous Cyber Defense for Protected Core Networking,2023,10.1109/icmcis59922.2023.10253614,https://doi.org/10.1109/icmcis59922.2023.10253614,,"In coalition military operations, secure and effective information sharing is vital to the success of the mission. Protected Core Networking (PCN) provides a way for allied nations to securely interco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not a benchmark; non-LLM cyber-defense systems paper (Protected Core Networking).
W4386302825,AutoDroid: LLM-powered Task Automation in Android,2023,10.48550/arxiv.2308.15272,https://doi.org/10.48550/arxiv.2308.15272,,"Mobile task automation is an attractive technique that aims to enable voice-based hands-free user interaction with smartphones. However, existing approaches suffer from poor scalability due to the lim",1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,AutoDroid: LLM mobile GUI agent + DroidTask; memory-augmented; real Android apps.
W4386211377,A Multi-Agent System Empowered by Federated Learning and Genetic Programming,2023,10.1109/siu59756.2023.10223778,https://doi.org/10.1109/siu59756.2023.10223778,,"The use of multi-agent systems enables the modelling of complex and decentralized solutions, giving the ability to have agents representing different entities and assets in a social environment where ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not a benchmark; non-LLM multi-agent federated-learning/genetic-programming method.
W4385327683,Autonomous Tester Agent Benchmark,2023,10.48550/arxiv.2307.13854,https://doi.org/10.48550/arxiv.2307.13854,,"Openstreetmap docker files required to self-host the WebArena benchmark, as described here:https://webarena.dev/https://arxiv.org/abs/2307.13854https://github.com/web-arena-x/webarena/tree/main/enviro",1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,Record title mislabeled; arXiv 2307.13854 = WebArena (self-hosted functional web benchmark).
W4383900599,A Novel Framework for Multiagent Knowledge-Based Federated Learning Systems,2023,10.1007/978-3-031-37616-0_25,https://doi.org/10.1007/978-3-031-37616-0_25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not a benchmark; non-LLM multiagent federated-learning framework (abstract unavailable).
W4404782219,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,2024,10.18653/v1/2024.findings-emnlp.79,https://doi.org/10.18653/v1/2024.findings-emnlp.79,,"Tongxin Yuan, Zhiwei He, Lingzhong Dong, Yiming Wang, Ruijie Zhao, Tian Xia, Lizhen Xu, Binglin Zhou, Fangqi Li, Zhuosheng Zhang, Rui Wang, Gongshen Liu. Findings of the Association for Computational ",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,R-Judge: safety-risk-awareness (W6) over static agent interaction records; no live execution.
W4405252842,The BrowserGym Ecosystem for Web Agent Research,2024,10.48550/arxiv.2412.05467,https://doi.org/10.48550/arxiv.2412.05467,,"The BrowserGym ecosystem addresses the growing need for efficient evaluation and benchmarking of web agents, particularly those leveraging automation and Large Language Models (LLMs). Many existing be",1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,BrowserGym: web-agent eval ecosystem unifying simulated + live-web benchmarks.
W4403707291,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,2024,10.48550/arxiv.2409.11363,https://doi.org/10.48550/arxiv.2409.11363,,"AI agents have the potential to aid users on a variety of consequential tasks, including conducting scientific research. To spur the development of useful agents, we need benchmarks that are challengi",1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,CORE-Bench: computational-reproducibility agent runs research repos (ML-eng/data-analysis).
W4393248299,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,2024,10.48550/arxiv.2403.17927,https://doi.org/10.48550/arxiv.2403.17927,,"In software development, resolving the emergent issues within GitHub repositories is a complex challenge that involves not only the incorporation of new code but also the maintenance of existing code.",1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,MAGIS: multi-agent GitHub-issue resolution evaluated on SWE-bench.
W4404088748,IntersectionZoo: Eco-driving for Benchmarking Multi-Agent Contextual Reinforcement Learning,2024,10.48550/arxiv.2410.15221,https://doi.org/10.48550/arxiv.2410.15221,,"Despite the popularity of multi-agent reinforcement learning (RL) in simulated and two-player applications, its success in messy real-world applications has been limited. A key challenge lies in its g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-LLM multi-agent RL eco-driving benchmark; screening false-positive.
W4402683822,CToolEval: A Chinese Benchmark for LLM-Powered Agent Evaluation in Real-World API Interactions,2024,10.18653/v1/2024.findings-acl.928,https://doi.org/10.18653/v1/2024.findings-acl.928,,"Assessing the capabilities of large language models (LLMs) as agents in decision making and operational tasks is crucial for the development of LLM-as-agent service.We propose CToolEval, a benchmark d",1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,CToolEval: Chinese real-world API tool-use agent benchmark.
W4391591592,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,2024,10.48550/arxiv.2402.01622,https://doi.org/10.48550/arxiv.2402.01622,,"Planning has been part of the core pursuit for artificial intelligence since its conception, but earlier AI agents mostly focused on constrained settings because many of the cognitive substrates neces",1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,TravelPlanner: long-horizon planning with sandboxed info-collection tools.
W4391244971,VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,2024,10.48550/arxiv.2401.13649,https://doi.org/10.48550/arxiv.2401.13649,,"Autonomous agents capable of planning, reasoning, and executing actions on the web offer a promising avenue for automating computer tasks. However, the majority of existing benchmarks primarily focus ",1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,VisualWebArena: multimodal self-hosted web-agent benchmark.
W4399991282,GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,2024,10.48550/arxiv.2406.15341,https://doi.org/10.48550/arxiv.2406.15341,,"Recent advancements in machine learning have significantly improved the identification of disease-associated genes from gene expression datasets. However, these processes often require extensive exper",1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,GenoTEX: gene-expression data-analysis agent (scientific workflow).
W4400267107,ShortcutsBench: A Large-Scale Real-world Benchmark for API-based Agents,2024,10.48550/arxiv.2407.00132,https://doi.org/10.48550/arxiv.2407.00132,,Recent advancements in integrating large language models (LLMs) with application programming interfaces (APIs) have gained significant interest in both academia and industry. Recent work demonstrates ,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,ShortcutsBench: API-based agent; offline match of action sequences/params to ground truth.
W4403364962,Benchmarking Agentic Workflow Generation,2024,10.48550/arxiv.2410.07869,https://doi.org/10.48550/arxiv.2410.07869,,"Large Language Models (LLMs), with their exceptional ability to handle a wide range of tasks, have driven significant advancements in tackling reasoning and planning tasks, wherein decomposing complex",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,WorfBench: offline agentic workflow/plan-graph generation vs gold graphs.
W4404312297,AGENT-CQ: Automatic Generation and Evaluation of Clarifying Questions for Conversational Search with LLMs,2024,10.48550/arxiv.2410.19692,https://doi.org/10.48550/arxiv.2410.19692,,Generating diverse and effective clarifying questions is crucial for improving query understanding and retrieval performance in open-domain conversational search (CS) systems. We propose AGENT-CQ (Aut,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,AGENT-CQ: clarifying-question generation + LLM/human eval; not a sequential-action agent task.
W4403880476,Can Machines Think Like Humans? A Behavioral Evaluation of LLM-Agents in Dictator Games,2024,10.31235/osf.io/s37ax,https://doi.org/10.31235/osf.io/s37ax,,"As Large Language Model (LLM)-based agents increasingly undertake real-world tasks and engage with human society, how well do we understand their behaviors? We (1) investigate how LLM agents' prosocia",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,"Dictator-game behavioral evaluation of LLM agents; one-shot allocation, not multi-step task suite."
