lexicon,idx,oa_id,title,abstract_first400,genuine_target,notes
Reasoning,1,W4413402046,EH-Benchmark: Ophthalmic hallucination benchmark and agent-driven top-down traceable reasoning workflow,,0,"hallucination benchmark; reasoning workflow is method, not evaluated construct"
Reasoning,2,W4387561453,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,"Language models have outpaced our ability to evaluate them effectively, but for their future development it is essential to study the frontier of their capabilities. We find real-world software engineering to be a rich, sustainable, and challenging testbed for evaluating the next generation of language models. To this end, we introduce SWE-bench, an evaluation framework consisting of $2,294$ softw",0,software-engineering benchmark; reasoning keyword incidental
Reasoning,3,W4385474529,Counterfactually Auditable Lifecycle Certification for Autonomous Agents,,0,"no abstract; certification topic, reasoning not evidenced"
Reasoning,4,W4416195096,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers","Recent advances in Large Language Models (LLMs) have triggered a new wave of intelligent financial agents capable of complex reasoning, tool use, and autonomous decision-making. This survey presents a comprehensive review of LLM-based agents in the context of investment and trading, focusing on applications such as portfolio optimization, risk management, information retrieval, and automated strat",0,survey; reasoning mentioned in passing
Reasoning,5,W4394710846,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,"The advances made by Large Language Models (LLMs) have led to the pursuit of LLM agents that can solve intricate, multi-step reasoning tasks. As with any research pursuit, benchmarking and evaluation are key corner stones to efficient and reliable progress. However, existing benchmarks are often narrow and simply compute overall task success. To face these issues, we propose AgentQuest -- a framew",1,benchmarks progress on multi-step reasoning tasks
Reasoning,6,W4391591592,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,"Planning has been part of the core pursuit for artificial intelligence since its conception, but earlier AI agents mostly focused on constrained settings because many of the cognitive substrates necessary for human-level planning have been lacking. Recently, language agents powered by large language models (LLMs) have shown interesting capabilities such as tool use and reasoning. Are these languag",0,targets planning; reasoning mentioned in passing
Reasoning,7,W4391244971,VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,,0,"no abstract; visual web task benchmark, reasoning not target"
Reasoning,8,W4388685755,GPT-4V in Wonderland: Large Multimodal Models for Zero-Shot Smartphone GUI Navigation,,0,GUI navigation; reasoning not target construct
Reasoning,9,W7118158543,Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,"Large Language Model (LLM)-based agents that plan, use tools and act has begun to shape healthcare and medicine. Reported studies demonstrate competence on various tasks ranging from EHR analysis and differential diagnosis to treatment planning and research workflows. Yet the literature largely consists of overviews which are either broad surveys or narrow dives into a single capability (e.g., mem",0,"survey/taxonomy, not a reasoning evaluation"
Reasoning,10,W4387560371,Put Your Money Where Your Mouth Is: Evaluating Strategic Planning and Execution of LLM Agents in an Auction Arena,"Recent advancements in Large Language Models (LLMs) showcase advanced reasoning, yet NLP evaluations often depend on static benchmarks. Evaluating this necessitates environments that test strategic reasoning in dynamic, competitive scenarios requiring long-term planning. We introduce AucArena, a novel evaluation suite that simulates auctions, a setting chosen for being highly unpredictable and inv",1,strategic reasoning explicitly tested in dynamic auction scenarios
