oa_id,title,direction,parent,decision,rationale
W3027879771,Affordance-Compiled Intelligence: Observable-Only Cognitive Impedance Matching for No-Meta LLM-Integrated Systems,backward,W4408167800,included,"agent+eval, no EC"
W4391136507,A Survey on Evaluation of Large Language Models,backward,W4408167800,included,"agent+eval, no EC"
W4382246105,Recent Advances in Natural Language Processing via Large Pre-trained Language Models: A Survey,backward,W4408167800,excluded,no agent/eval or EC match
W4385452929,From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,backward,W4408167800,excluded,no agent/eval or EC match
W4390490761,Explainability for Large Language Models: A Survey,backward,W4408167800,excluded,no agent/eval or EC match
W4391582407,Revolutionizing Cyber Threat Detection With Large Language Models: A Privacy-Preserving BERT-Based Lightweight Model for IoT/IIoT Devices,backward,W4408167800,excluded,no agent/eval or EC match
W4381186802,Monte Carlo and variance reduction methods for structural reliability analysis: A comprehensive review,backward,W4408167800,excluded,no agent/eval or EC match
W4321497442,Survey on Intrusion Detection Systems Based on Machine Learning Techniques for the Protection of Critical Infrastructure,backward,W4408167800,excluded,no agent/eval or EC match
W4386869719,"Edge Learning for 6G-Enabled Internet of Things: A Comprehensive Survey of Vulnerabilities, Datasets, and Defenses",backward,W4408167800,excluded,no agent/eval or EC match
W4387527822,Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey,backward,W4408167800,included,"agent+eval, no EC"
W4384834994,Generative AI for Cyber Threat-Hunting in 6G-enabled IoT Networks,backward,W4408167800,excluded,no agent/eval or EC match
W4385380676,TwinPort: 5G drone-assisted data collection with digital twin for smart seaports,backward,W4408167800,excluded,no agent/eval or EC match
W4384026520,LLMSecEval: A Dataset of Natural Language Prompts for Security Evaluations,backward,W4408167800,excluded,no agent/eval or EC match
W4319993397,Multi-Agent Distributed Deep Learning Algorithm to Detect Cyber-Attacks in Distance Relays,backward,W4408167800,included,"agent+eval, no EC"
W4387870108,TwinPot: Digital Twin-assisted Honeypot for Cyber-Secure Smart Seaports,backward,W4408167800,excluded,no agent/eval or EC match
W4393028284,Digital Twin-Empowered Smart Attack Detection System for 6G Edge of Things Networks,backward,W4408167800,excluded,no agent/eval or EC match
W4389459384,Predictive Reliability Analysis of Power Distribution Systems Considering the Effects of Seasonal Factors on Outage Data Using Weibull Analy,backward,W4408167800,excluded,no agent/eval or EC match
W4319338784,Using Domain-Augmented Federated Learning to Model Thermostatically Controlled Loads,backward,W4408167800,excluded,no agent/eval or EC match
W4386246776,"Reliability Function of the Connected-(2,2)-out-of-(m,n): F Linear and Circular System Using Markov Chain",backward,W4408167800,excluded,no agent/eval or EC match
W4393065402,A survey on large language model based autonomous agents,backward,W4408167800,included,"agent+eval, no EC"
W4391849646,Ethical and regulatory challenges of AI technologies in healthcare: A narrative review,backward,W4413801638,excluded,no agent/eval or EC match
W4403203873,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",backward,W4408167800,included,"agent+eval, no EC"
W4401023556,DiffECG: Diffusion Model-Powered Label-Efficient and Personalized Arrhythmia Diagnosis,backward,W4408167800,excluded,no agent/eval or EC match
W4401211704,Splitwise: Efficient Generative LLM Inference Using Phase Splitting,backward,W4408167800,excluded,no agent/eval or EC match
W4405079446,LLM-based agentic systems in medicine and healthcare,backward,W4413801638,excluded,no agent/eval or EC match
W4385290206,Artificial Intelligence in U.S. Health Care Delivery,backward,W4413801638,excluded,no agent/eval or EC match
W4402350363,"LLM-Based Edge Intelligence: A Comprehensive Survey on Architectures, Applications, Security and Trustworthiness",backward,W4408167800,excluded,no agent/eval or EC match
W4391259883,Efficient healthcare with large language models: optimizing clinical workflow and enhancing patient care,backward,W4413801638,excluded,no agent/eval or EC match
W4393763811,"Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods",backward,W4413801638,included,"agent+eval, no EC"
W4401847454,Balancing act: the complex role of artificial intelligence in addressing burnout and healthcare workforce dynamics,backward,W4413801638,excluded,no agent/eval or EC match
W4401004521,A survey of large language models for cyber threat detection,backward,W4408167800,excluded,no agent/eval or EC match
W4407203427,The rise of agentic AI teammates in medicine,backward,W4413801638,excluded,no agent/eval or EC match
W4406371336,Large Language Models lack essential metacognition for reliable medical reasoning,backward,W4413801638,excluded,no agent/eval or EC match
W4394842314,How artificial intelligence could transform emergency care,backward,W4413801638,excluded,no agent/eval or EC match
W4403196715,Early-Exit Deep Neural Network - A Comprehensive Survey,backward,W4408167800,excluded,no agent/eval or EC match
W4397042146,Implications of Large Language Models for Quality and Efficiency of Neurologic Care,backward,W4413801638,excluded,no agent/eval or EC match
W4385751981,"Large Language Models and Artificial Intelligence: A Primer for Plastic Surgeons on the Demonstrated and Potential Applications, Promises, a",backward,W4413801638,excluded,no agent/eval or EC match
W4402811916,CyberMetric: A Benchmark Dataset based on Retrieval-Augmented Generation for Evaluating LLMs in Cybersecurity Knowledge,backward,W4408167800,excluded,no agent/eval or EC match
W4402389238,AI-Enhanced Digital Twin Framework for Cyber-Resilient 6G Internet of Vehicles Networks,backward,W4408167800,excluded,no agent/eval or EC match
W4402684113,DebugBench: Evaluating Debugging Capability of Large Language Models,backward,W4408167800,excluded,no agent/eval or EC match
W4404781813,EHRAgent: Code Empowers Large Language Models for Few-shot Complex Tabular Reasoning on Electronic Health Records,backward,W4413801638,excluded,no agent/eval or EC match
