title,doi,year,venue,type,status,reason
Agentic AI Capability and Security Benchmark,10.1007/978-3-032-02130-4_6,2025,Securing AI Agents,Chapter,candidate_agentic,agentic/LLM-agent signal
Population-dependent agent performance in non-transitive games: a multi-agent rock–paper–scissors benchmark,10.1038/s41598-026-55417-9,2026,Scientific Reports,Article,exclude_nonllm,non-LLM agent system/control/econ
Adaptive monitoring and real-world evaluation of agentic AI systems,10.1007/s43681-026-00990-y,2026,AI and Ethics,Article,candidate_agentic,agentic/LLM-agent signal
From benchmarks to deployment: a comprehensive review of agentic AI evaluation,10.1007/s10462-026-11571-0,2026,Artificial Intelligence Review,Article,dup_openalex,already in OpenAlex 648
Design and Evaluation of an Agentic AI Framework for Personalized Umrah Trip Planning,10.1007/s13369-025-11021-z,2026,Arabian Journal for Science and Engineering,Article,candidate_agentic,agentic/LLM-agent signal
The backlash effect in japan: how agency and communality influence the evaluation of agentic female leaders,10.1007/s12144-026-09032-6,2026,Current Psychology,Article,exclude_offconstruct,psychology (agentic trait)
Benchmark for multi-agent pickup and delivery problem in a robotic mobile fulfillment system,10.1007/s10696-024-09563-9,2024,Flexible Services and Manufacturing Journal,Article,dup_openalex,already in OpenAlex 648
A Benchmark on&#xa0;Formation Control of&#xa0;Multi-agent Robotic System,10.1007/978-3-031-76312-0_10,2025,Control Systems Benchmarks,Chapter,exclude_nonllm,non-LLM agent system/control/econ
Quality Tuning and Evaluation with Agent Bricks,10.1007/979-8-8688-2524-8_7,2026,Databricks Data Intelligence Platform,Chapter,candidate_review,no clear signal - manual review
MAP: evaluation and multi-agent enhancement of large language models for inpatient pathways,10.1038/s44401-026-00085-0,2026,npj Health Systems,Article,candidate_agentic,agentic/LLM-agent signal
Multi-agent robust policy evaluation for reinforcement learning via primal-dual online time-averaging,10.1007/s11432-024-4578-2,2025,Science China Information Sciences,Article,exclude_nonllm,non-LLM agent system/control/econ
"Synthesis, Characterization and Biological Evaluation of a Sulfonamide-Based Antimicrobial Agent",10.1007/s42250-025-01338-5,2025,Chemistry Africa,Article,exclude_chem_bio,"chemical/biological ""agent"""
Preparation and Performance Evaluation of Waterborne Polyurethane Modified with Silane Coupling Agent and Castor Oil,10.1007/s11595-025-3217-2,2025,Journal of Wuhan University of Technology-Mater. Sci. Ed.,Article,exclude_offconstruct,chemistry/materials
Fabrication and evaluation of hybrid foam fire-extinguishing agent reinforced with nano-zirconia sol,10.1007/s10971-025-06886-3,2025,Journal of Sol-Gel Science and Technology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Development and Performance Evaluation of a Salt-Tolerant Supramolecular Fracturing Fluid Thickening Agent,10.1007/s10553-025-01972-2,2025,Chemistry and Technology of Fuels and Oils,Article,exclude_offconstruct,chemistry/materials
The feedback loop: a systematic review of how evaluation practices inform conversational agent design,10.1007/s10209-026-01311-0,2026,Universal Access in the Information Society,Article,exclude_conv,conversational/relational health agent (EC1/EC4)
Identification and evaluation of bioactive compound from selected medicinal plants: potential antibacterial agent,10.1007/s42535-025-01395-8,2025,Vegetos,Article,exclude_chem_bio,"chemical/biological ""agent"""
Modeling human adaptation to ice-jam flood risk: a calibrated agent-based policy evaluation framework,10.1007/s11069-025-07922-9,2026,Natural Hazards,Article,exclude_offconstruct,agent-based modeling/econ
Value-based large language model agent simulation for mutual evaluation of trust and interpersonal closeness,10.1038/s41598-025-25531-1,2025,Scientific Reports,Article,candidate_agentic,agentic/LLM-agent signal
Embedding ethical governance in personal AI systems: design and evaluation of a user-centred oversight agent,10.1007/s43681-026-01193-1,2026,AI and Ethics,Article,candidate_agentic,agentic/LLM-agent signal
A multi-agent large language model framework for intelligent vendor evaluation and risk-aware procurement decisions,10.1038/s41598-026-50952-x,2026,Scientific Reports,Article,candidate_agentic,agentic/LLM-agent signal
Synthesis and Biological Evaluation of Coumarin Bearing Thiourea Derivative as Potential Antibacterial Agent,10.1134/s1070428024130177,2024,Russian Journal of Organic Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
Seal-Tools: Self-instruct Tool Learning Dataset for&#xa0;Agent Tuning and&#xa0;Detailed Benchmark,10.1007/978-981-97-9434-8_29,2025,Natural Language Processing and Chinese Computing,Conference paper,dup_openalex,already in OpenAlex 648
