lexicon,idx,oa_id,title,abstract_first400,genuine_target,notes
Memory,1,W4323651349,"Foundation Models for Decision Making: Problems, Methods, and Opportunities",,0,no abstract; survey title
Memory,2,W4385682136,AgentBench: Evaluating LLMs as Agents,"The potential of Large Language Model (LLM) as agents has been widely acknowledged recently. Thus, there is an urgent need to quantitatively \textit{evaluate LLMs as agents} on challenging tasks in interactive environments. We present AgentBench, a multi-dimensional benchmark that consists of 8 distinct environments to assess LLM-as-Agent's reasoning and decision-making abilities. Our extensive te",0,general agent benchmark; memory not measured construct
Memory,3,W4386302825,AutoDroid: LLM-powered Task Automation in Android,,0,"no abstract; Android task automation, memory not evidenced"
Memory,4,W4387560371,Put Your Money Where Your Mouth Is: Evaluating Strategic Planning and Execution of LLM Agents in an Auction Arena,"Recent advancements in Large Language Models (LLMs) showcase advanced reasoning, yet NLP evaluations often depend on static benchmarks. Evaluating this necessitates environments that test strategic reasoning in dynamic, competitive scenarios requiring long-term planning. We introduce AucArena, a novel evaluation suite that simulates auctions, a setting chosen for being highly unpredictable and inv",0,strategic planning evaluation; memory not measured
Memory,5,W4391057591,Magenta: Metrics and Evaluation Framework for Generative Agents based on LLMs,"Large Language Models (LLMs) have emerged as a driving force in the field of Natural Language Processing (NLP) with applications spanning various domains, including the development of Autonomous Generative Agents. Generative Agents are computational software programs designed to believably simulate human behavior by harnessing the capabilities of large language models. Through repetitive prompts a",0,generative-agent metrics; memory evaluation not evidenced
Memory,6,W4391620956,Understanding the planning of LLM agents: A survey,,0,survey on planning; not memory evaluation
Memory,7,W4394868323,MMInA: Benchmarking Multihop Multimodal Internet Agents,"Autonomous embodied agents live on an Internet of multimedia websites. Can they hop around multimodal websites to complete complex user tasks? Existing benchmarks fail to assess them in a realistic, evolving environment for their embodiment across websites. To answer this question, we present MMInA, a multihop and multimodal benchmark to evaluate the embodied agents for compositional Internet task",0,web navigation benchmark; memory not target
Memory,8,W4395065101,A Survey on the Memory Mechanism of Large Language Model based Agents,,0,"survey about memory mechanisms, not a memory evaluation"
Memory,9,W4400337685,MIRAI: Evaluating LLM Agents for Event Forecasting,"Recent advancements in Large Language Models (LLMs) have empowered LLM agents to autonomously collect world information, over which to conduct reasoning to solve complex problems. Given this capability, increasing interests have been put into employing LLM agents for predicting international events, which can influence decision-making and shape policy development on an international scale. Despite",0,event-forecasting benchmark; memory not measured
Memory,10,W4401017924,Proposal for a Flexible Benchmark for Agent Based Models,"As hardware capabilities and scientific understanding of social and biological systems improves, researchers are able to model complex system with increasing detail. This change increases the demand on Agent Based Modeling (ABM) software, making the performance of the software more critical. For researchers to choose the best system to implement their models, they must understand not only the capa",0,ABM software benchmarking proposal; no memory evaluation
Memory,11,W4402684150,Evaluating Very Long-Term Conversational Memory of LLM Agents,"Adyasha Maharana, Dong-Ho Lee, Sergey Tulyakov, Mohit Bansal, Francesco Barbieri, Yuwei Fang. Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers). 2024.",1,directly evaluates very long-term conversational memory
Memory,12,W4403345800,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,"This paper develops a theory of search stability for long-running agents operating under finite active context, delayed verification, sparse expensive feedback, path-dependent lock-in, and lossy state compression. The focus is not only on model quality, but on the mesoscopic law layer that governs how an agent should preserve, retire, substitute, compress, branch, and reset competing hypotheses or",0,theoretical treatment of agent state/context; not memory evaluation
Memory,13,W4403884175,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,"Although LLM-based agents, powered by Large Language Models (LLMs), can use external tools and memory mechanisms to solve complex real-world tasks, they may also introduce critical security vulnerabilities. However, the existing literature does not comprehensively evaluate attacks and defenses against LLM-based agents. To address this, we introduce Agent Security Bench (ASB), a comprehensive frame",0,security benchmark; memory mentioned as agent component
Memory,14,W4404317680,"A Survey of LLM-based Agents: Theories, Technologies, Applications and Suggestions",,0,no abstract; survey title
Memory,15,W4404649840,BALROG: Benchmarking Agentic LLM and VLM Reasoning On Games,"Large Language Models (LLMs) and Vision Language Models (VLMs) possess extensive knowledge and exhibit promising reasoning abilities, however, they still struggle to perform well in complex, dynamic environments. Real-world tasks require handling intricate interactions, advanced spatial reasoning, long-term planning, and continuous exploration of new strategies-areas in which we lack effective met",0,game reasoning benchmark; memory not target
Memory,16,W4407590542,EmbodiedBench: Comprehensive Benchmarking Multi-modal Large Language Models for Vision-Driven Embodied Agents,"Leveraging Multi-modal Large Language Models (MLLMs) to create embodied agents offers a promising avenue for tackling real-world tasks. While language-centric embodied agents have garnered substantial attention, MLLM-based embodied agents remain underexplored due to the lack of comprehensive evaluation frameworks. To bridge this gap, we introduce EmbodiedBench, an extensive benchmark designed to e",0,embodied agent benchmark; memory not measured
