oa_id,title,current_type,venue,venue_status,note
W4385849309,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4385682136,AgentBench: Evaluating LLMs as Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402670146,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4408167800,"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opport",article,Sensors,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387561453,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402684150,Evaluating Very Long-Term Conversational Memory of LLM Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7119224602,A MODULAR BENCHMARKING FRAMEWORK FOR EVALUATING LLM-BASED AGENT APPLICATIONS,article,INTERNATIONAL JOURNAL OF RESEARCH IN COMPUTER APPLICATIONS AND INFORMATION TECHNOLOGY,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404782219,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402684061,CharacterEval: A Chinese Benchmark for Role-Playing Conversational Agent Evaluation,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413801638,MedAgentBench: A Virtual EHR Environment to Benchmark Medical LLM Agents,article,NEJM AI,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402667024,VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4385327683,Autonomous Tester Agent Benchmark,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412877164,Evaluation and Benchmarking of LLM Agents: A Survey,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4408165425,Design and evaluation of an Autonomous Cyber Defence agent using DRL and an augmented LLM,article,Computer Networks,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402670103,MatPlotAgent: Method and Evaluation for LLM-Based Agentic Scientific Data Visualization,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4396914156,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4396832912,Prompt-Gaming: A Pilot Study on LLM-Evaluating Agent in a Meaningful Energy Game,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412945638,MultiAgentBench : Evaluating the Collaboration and Competition of LLM agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4391591592,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402671956,Benchmarking Data Science Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4411119815,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4400187846,Managing Linux servers with LLM-based AI agents: An empirical evaluation with GPT4,article,Machine Learning with Applications,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402671905,Mobile-Bench: An Evaluation Benchmark for LLM-based Mobile Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404481306,"Benchmarking Large Language Models for Multi-agent Systems: A Comparative Analysis of AutoGen, CrewAI, and TaskWeaver",book-chapter,Lecture notes in computer science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4385825419,BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4388964563,GAIA: a benchmark for General AI Assistants,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415797693,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412889702,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404782852,DA-Code: Agent Data Science Code Generation Benchmark for Large Language Models,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412886733,LegalAgentBench: Evaluating LLM Agents in Legal Domain,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413025843,Multi-Model Dialectical Evaluation of LLM Reasoning Chains: A Structured Framework with Dual Scoring Agents,article,Informatics,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
