title,doc
"Contextual Trust Evaluation for Robust Coordination in Large Language Model Multi-Agent Systems",/document/11409558/
"Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot",/document/11002554/
"Beyond Accuracy: Cybersecurity Resilience Evaluation Of Intrusion Detection System Against Dos Attacks Using Agent-Based Simulation",/document/10408211/
"Intelligent Agent-Based Dynamic Reliability Evaluation for Optical Networks: A Comprehensive Framework and Case Study",/document/10812963/
"Enhancing LLM Code Generation: A Systematic Evaluation of Multi-Agent Collaboration and Runtime Debugging for Accuracy, Reliability, and Latency",/document/11268754/
"Evaluation of Virtual Agents’ Hostility in Video Games",/document/10504559/
"Design and Evaluation of an AI-Powered Conversational Agent for Personalized Mental Health Support and Intervention (MindBot)",/document/10863855/
"Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation",/document/10989038/
"An Empirical Evaluation of LLM-Based Approaches for Code Vulnerability Detection: RAG, SFT, and Dual-Agent Systems",/document/11344502/
"Transfer Learning With Less Negative Transfer for Multi-Agent Reinforcement Learning: Application and Evaluation in Base Station Control",/document/10817200/
"Towards RehabCoach: Design and Preliminary Evaluation of a Conversational Agent Supporting Unsupervised Therapy After Stroke",/document/10719881/
"Evaluation of Different Modalities for Interacting with a Tasking Agent in Manned-Unmanned Teaming Missions",/document/11343617/
"A Modular Framework for Automated Evaluation of Procedural Content Generation in Serious Games With Deep Reinforcement Learning Agents",/document/11080349/
"Intelligent Agents for Requirements Engineering: Use, Feasibility and Evaluation",/document/11190353/
"From Agents to Robots: A Training and Evaluation Platform for Multi-robot Reinforcement Learning",/document/10763906/
"Analyzing RL Agent Competency in Air Combat: A Tool for Comprehensive Performance Evaluation",/document/10311176/
"Evaluation of an agent-based reinforcement learning framework for model-based testing",/document/10747593/
"Voice-guided Orchestrated Intelligence for Clinical Evaluation (VOICE): A Voice AI Agent System for Prehospital Stroke Assessment",/document/11326766/
"Mission Reliability Evaluation of Dynamic Distributed Cooperative Systems Based on Multi-agent Modeling and Simulation",/document/10336149/
"A Practical Evaluation of Multi-Agent Pathfinding in Automated Warehouse",/document/10597505/
"Workstation Evaluation of Work from Home Call Center Agents Using ROSA",/document/10589117/
"Multi-Agent Evaluation for Energy Management by Practically Scaling Q-Rank",/document/11292972/
"On the Hardness of Decentralized Multi-Agent Policy Evaluation Under Byzantine Attacks",/document/10778300/
"Self-Evaluation can Help Agents Meet Social Expectations",/document/11217458/
"Operational Evaluation of UAV Swarm Precision Strikes with Agent Based Modeling and Simulation",/document/10808591/
"Design and Evaluation of a Virtual Agent for Interpersonal Emotion Regulation in VR",/document/11220554/
"Stochastic Dynamic Agent-based Modelling for Evaluation of ACAS and DAA Systems",/document/10976787/
"Specification and Evaluation of Multi-Agent LLM Systems - Prototype and Cybersecurity Applications",/document/11233474/
"Agent-Based Simulation Evaluation of CBD Tolling: A Case Study from New York City",/document/10485607/
"Multi-Agent Based Casual Triple Extraction For Factuality Evaluation Using Large Language Models",/document/10917708/
"Generative AI and Multi-Agent Systems Approach to Psychometric Evaluation for Human Resource Management and Talent Acquisition",/document/11015385/
"Experimental Evaluation of Roadmap-Based Map Generation with Continuous-Time Conflict-Based Search for Multi-Agent Pathfinding",/document/10977707/
"An Agent-Based Framework for Performance Evaluation and Tradeoff Analysis of Highway Work Zone Policies",/document/11357522/
"A Domain-specific Hallucination Evaluation Framework for AI Agents in Substation Operation and Maintenance Scenarios",/document/11381315/
"Skill Training for Space Teleoperation: DRL-Based Intelligent Agent for Training Strategy Adjustment With Innovative Evaluation",/document/11224535/
"MELF: Multi-Agent Evaluation for LLMs Fairness Based on Hierarchical Genetic Algorithm",/document/11388881/
"AIvaluate: A Multi-Agent Framework for Automated Answer Script Evaluation Using Large Language Models and Semantic Vector Indexing",/document/11155081/
"Population-based Multi-agent Evaluation for Large-scale Voltage Control",/document/10394480/
"Comparative Evaluation of Fragmentation and Encoding Strategies in a Web Agent Integrating RAG and Local LLM",/document/11340287/
"BioLabAgents: A Multi-Agent Framework for Scientific Idea Generation and Evaluation on Biomedical Research Trajectories",/document/11356120/
"InGen: An LLM-Agent Based Approach for Automatically Generating Evaluation Indicator System for Avionics",/document/11274390/
"Designing Reputation Systems for Manufacturing Data Trading Markets: A Multi-Agent Evaluation With Q-Learning and IRL-Estimated Utilities",/document/11402482/
"AI Agent Testing and Analysis Platform: A System for Automated Evaluation of AI Systems",/document/11437478/
"Design and Evaluation of an Educational Virtual Agent Based on Retrieval-Augmented Generation for the Entrepreneurship Culture Course in Higher Education",/document/11552386/
"Beyond Text Matching: Multi-Agent System for Comprehensive Research Paper Evaluation",/document/11378097/
"Evaluation of Graph- and Sampling-Based Path Planners for Multi-Agent Deployment in Known Urban Environments",/document/11494642/
"The Integration of Interactive Psychoeducation and Agent Embodiment in Virtual Reality Training: An Evaluation on Breathing Techniques",/document/11480742/
"LLM-based Intelligent Evaluation Agent with Knowledge Graph Construction for Human-Machine Interactive Learning*",/document/11343717/
"Enhanced Alpha-Beta Pruning and Evaluation Function Optimization for Pac-Man AI Agents",/document/11547420/
"Design and Evaluation of an AI-Based Conversational Agent for Adaptive Feedback in Educational Robotics",/document/11450520/
"Evaluation Method of Ship Equipment Applicability Based on Agent Attention Transformer",/document/10920484/
"Implementation of Wireless Network Quality Evaluation Method for Agent Twins Based on Active Passive Dual Periodic Collaborative Measurement",/document/11064354/
"A Comparative Evaluation of Local Inference for Embodied Agents in Minecraft",/document/11522540/
"An Agent-based Evaluation Framework for Complex Code Generation",/document/11334422/
"Vicarious Evaluation of a Decision Model for Human-Agent Social Touch Interactions",/document/10608405/
"An Automated System for Generating Chargeback Notices Based on Multi-Agent Collaboration and Its Practical Evaluation",/document/11352645/
"Automated Resume Evaluation Using Large Language Models: A Multi-Agent Framework With Fine-Tuning and Prompt Engineering",/document/11534618/
"Persona-Driven Feedback Agents for High-Stakes Documents: A Multi-Perspective Evaluation of Global Talent Visa Submissions",/document/11498196/
"Efficient Evaluation in Multi-Agent Reinforcement Learning via Rotation Invariance",/document/11138452/
"Contextualizing AI Agent Evaluation: Proposed Framework for Japanese Businesses",/document/11341698/
"Research on Performance Evaluation Technology of Metering Devices Based on the Smart Agent for Business Expansion and Metering",/document/11331985/
"FitnessAgent: A Unified Agent Framework for Open-Set and Personalized Fitness Evaluation",/document/11128810/
"Contextual Prompt Enabler for Mental Health (CPEMH): An Agent-Based LLM Framework for Prompt Design, Evaluation, and Selection for Depression Screening from Transcripts",/document/11401497/
"A Hybrid Multi-Agent–ML Architecture for Trust-Oriented Seller Evaluation in B2C E-Commerce",/document/11502330/
"Role Assignment for Agent Evaluation Under Uncertainty: A Distributionally Robust Approach",/document/11192230/
"Enhancing Handwritten Answer Sheet Evaluation Through Large Language Models and Multi-Agent Reasoning",/document/11379082/
"MAEDA: An LLM-Powered Multi-Agent Evaluation Framework for EDA Tool Documentation QA",/document/11539506/
"UINavBench: A Framework for Comprehensive Evaluation of Interactive Digital Agents",/document/11444249/
"An Iterative Multi-Agent Analysis for Automated Evaluation in NLG Tasks",/document/11417045/
"Experimental Evaluation of Coordinated Decision Making Strategies Based on Multi-Agent Reinforcement Learning",/document/11478990/
"Cognitive Agent Evaluation for Synthetic Pilot Training",/document/11257300/
"Design and Evaluation of an LLM-Based Agent for QoT Estimation and Performance Optimization in Optical Networks",/document/11157742/
"Lightweight Dual-Agent Architecture for 2-D Shadow Puppetry: Real-Time Edge Deployment and Evaluation",/document/11435987/
"SKYWALKER: Dual-Agent Reinforcement Learning for Autonomous Crawling in a Planar Microgravity Analog : Sim-to-Real Evaluation at ESA’s Orbital Robotics Lab",/document/11536641/
"Stable and Expert-Aligned Evaluation of Wargaming Strategies via Optimized LLM Scoring Agents",/document/11336231/
"A Multi-Agent Workflow for 3D Visualization Code Generation and Evaluation Based on Spatial-MLLM",/document/11333708/
"IAEAgent: LLM-Based Educational Agent for Instructional Alignment Evaluation in University Courses",/document/11533481/
"Teaching Precommitted Agents: Model-Free Policy Evaluation and Control in Quasi-Hyperbolic Discounted MDPs",/document/11312113/
"Agent Evaluation via Social Network Analysis in Educational E-CARGO Framework",/document/11139203/
"Integrating Fuzzy Evaluation Agents and LLM-Based Robots for Multilingual Interactive Applications",/document/11287789/
"Beyond Single-Framework Architectures: A Systematic Evaluation and Hybrid Design for Scalable Multi-Agent Coordination",/document/11481053/
"ICLAD 2025: Agents, Benchmarks, and the Next Wave of LLM-Aided Design [IEEE News]",/document/11359387/
